iteration,log_likelihood,change_in_log_likelihood,beta1,beta2,beta3,eps1,eps2,eps3,eps5,eps6,eps7,g_star,gamma,lambda1,lambda3,phi1,phi2,phi3,psi,rho
0,234.1271193797208,,0.4240508637900415,-1.5676017642728834,-0.5,0.005020263716011503,0.1880690723926659,0.23070119178649967,0.00862078192183337,0.0020538803477034586,0.15977025281511137,0.007106706905460669,0.005,4.660485033801915,-19.386479696293247,0.7298466794221706,-0.1423946950966153,0.0,0.01316452759705228,0.6672052887317743
1,257.23818811976537,23.111068740044573,0.421821565146365,-1.5646279333273125,-0.49772125311122534,0.0050170016809101305,0.18794663267091716,0.23380634173531487,0.008680276238660307,0.002117650180682093,0.15980048478880232,0.0071216120541500935,0.00498732527995932,4.617145121423826,-19.43896478446046,0.7305434247221073,-0.14165091556598555,-0.0006510705396498981,0.012967491576721463,0.6674154508586359
2,328.84262778101623,71.60443966125086,0.38701477248983535,-1.5354332391218548,-0.47085174755551845,0.004981488959334391,0.1877419226833472,0.25312880858437303,0.008692970065146305,0.0021772138982901934,0.1598324797702413,0.007291175151431295,0.004983731769097667,4.605846955610405,-19.50786511203449,0.7418342400337608,-0.13143142059787344,-0.000584125038790047,0.012912510353476054,0.6776312552984911
3,439.07306976905386,110.23044198803763,0.27350300894865254,-1.4396775164762783,-0.4076471978601636,0.004761950512007876,0.18654694502610872,0.2951999342301157,0.008711582582019482,0.002360357618768143,0.15977024281511137,0.007554496159656385,0.00497262834806304,4.565188267749563,-19.859195069116936,0.8025598139475814,-0.07742415786864991,-0.0005114881788919814,0.01275189539146985,0.7258581955859951
4,484.6253779787163,45.55230820966244,0.15697668320138825,-1.3418324814790756,-0.38481918065748294,0.004399713725856305,0.18442210732998632,0.3251153923593104,0.008588033116144185,0.002553264833639353,0.15977024281511137,0.007497704881275333,0.004962058799483319,4.520817849858074,-20.243640299758816,0.888873684255136,-0.0036533486087316977,-0.0005400508025835145,0.01264232690202266,0.7686712439339537
5,502.66493969317906,18.039561714462764,0.02851010680088139,-1.2396468857542853,-0.4238189516767867,0.0038755039790569963,0.18052976831620923,0.3496675473191896,0.008075442601622884,0.002797964929724625,0.15977024281511137,0.007716056618040264,0.004950984002177445,4.462348259674865,-20.372617364360597,0.94562639473678,0.029449809779314703,-0.0005682674198693626,0.01267553381294969,0.7315333737952133
6,511.690615785531,9.025676092351944,-0.1012296412122846,-1.1462158073652928,-0.4877169568922468,0.0034539726109786943,0.1752419506810197,0.37063807544946825,0.007570233370388824,0.003048196219674563,0.15977024281511137,0.00735922595448735,0.004939241004176666,4.3869436571866665,-20.74432405960475,0.9262445718447774,-0.026620313987832805,-0.0005838839511895633,0.012828410309946017,0.730372837055933
7,515.5054912209707,3.814875435439717,-0.16003662812714922,-1.1157200843758643,-0.5417869637436006,0.0034690008908251388,0.17128172877558526,0.37663978996774733,0.007379732250436591,0.0032149703028132325,0.15977024281511137,0.0075476491748658475,0.004933316334907728,4.3493205469233756,-21.110690284833836,0.9469880171222858,-0.036675465167361476,-0.0005913269852729996,0.012999625883080465,0.7491018460575034
8,519.6901280900065,4.184636869035785,-0.2531106042998213,-1.087057012960042,-0.6299923242043629,0.003761553772081577,0.16299410650769483,0.3806713581781254,0.007116022076709445,0.0035270864200183604,0.15977024281511137,0.007538897283224391,0.004922501083939832,4.288182747959216,-21.767552832730487,0.9906032651520444,-0.05782315633449653,-0.0005814730281202274,0.01343059257976573,0.7602606995370549
9,523.5273981143185,3.8372700243120335,-0.3498978825132635,-1.0849722278234326,-0.6976070482198676,0.0040425962727079065,0.15132612015494773,0.3742280992354909,0.006831226004270334,0.003884690359733553,0.15977024281511137,0.007710313833752504,0.004906246352174668,4.214237196389542,-22.659279066325404,1.0301489851037615,-0.10805191547394634,-0.000583333597690408,0.014109463901014365,0.7531170031566752
