code,name,depth,parent,published,weight
0,All groups CPI,0,,100.0,1.0
1,Food and non-alcoholic beverages,1,0,17.4,0.174
2,Bread and cereal products,2,1,1.56,0.015591039632395175
3,Bread,3,2,0.62,0.006196438828259621
4,Cakes and biscuits,3,2,0.65,0.0064962665134979895
5,Breakfast cereals,3,2,0.1,0.0009994256174612292
6,Other cereal products,3,2,0.19,0.0018989086731763356
7,Meat and seafoods,2,1,2.13,0.021287765651924178
8,Beef and veal,3,7,0.42,0.004197587593337162
9,Pork,3,7,0.27,0.0026984491671453188
10,Lamb and goat,3,7,0.24,0.0023986214819069498
11,Poultry,3,7,0.42,0.004197587593337162
12,Other meats,3,7,0.4,0.003997702469844916
13,Fish and other seafood,3,7,0.38,0.0037978173463526703
14,Dairy and related products,2,1,1.08,0.010793796668581275
15,Milk,3,14,0.42,0.0041975875933371615
16,Cheese,3,14,0.34,0.0033980470993681794
17,Ice cream and other dairy products,3,14,0.32,0.003198161975875933
18,Fruit and vegetables,2,1,2.0,0.019988512349224583
19,Fruit,3,18,0.9,0.008994830557151062
20,Vegetables,3,18,1.1,0.010993681792073521
21,Food products n.e.c.,2,1,2.3,0.02298678920160827
22,Eggs,3,21,0.14,0.001399195864445721
23,"Jams, honey and spreads",3,21,0.12,0.0011993107409534749
24,Food additives and condiments,3,21,0.31,0.0030982194141298105
25,Oils and fats,3,21,0.26,0.002598506605399196
26,Snacks and confectionery,3,21,0.94,0.009394600804135553
27,Other food products n.e.c.,3,21,0.53,0.005296955772544515
28,Non-alcoholic beverages,2,1,1.21,0.012093049971280872
29,"Coffee, tea and cocoa",3,28,0.26,0.002620160827110856
30,"Waters, soft drinks and juices",3,28,0.94,0.009472889144170016
31,Meals out and take away foods,2,1,7.13,0.07125904652498563
32,Restaurant meals,3,31,3.95,0.03942202153693183
33,Take away and fast foods,3,31,3.19,0.031837024988053804
34,Alcohol and tobacco,1,0,6.51,0.06509999999999999
35,Alcoholic beverages,2,34,4.65,0.046499999999999986
36,Spirits,3,35,0.92,0.009219827586206895
37,Wine,3,35,1.65,0.01653556034482758
38,Beer,3,35,2.07,0.020744612068965513
39,Tobacco,2,34,1.86,0.018599999999999995
40,Tobacco,3,39,1.86,0.018599999999999995
41,Clothing and footwear,1,0,3.17,0.0317
42,Garments,2,41,1.96,0.019538364779874213
43,Garments for men,3,42,0.53,0.005283333333333333
44,Garments for women,3,42,1.1,0.010965408805031447
45,Garments for infants and children,3,42,0.33,0.003289622641509434
46,Footwear,2,41,0.45,0.004485849056603773
47,Footwear for men,3,46,0.11,0.0011214622641509432
48,Footwear for women,3,46,0.26,0.0026507289879931385
49,Footwear for infants and children,3,46,0.07,0.0007136578044596913
50,Accessories and clothing services,2,41,0.77,0.007675786163522012
51,Accessories,3,50,0.7,0.006977987421383647
