code,description,measure,name,frequency,unit,adjustment,source
A130393720C,Index Numbers ;  All groups CPI ;  Australia ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130397375X,Index Numbers ;  All groups CPI ;  Sydney ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130396086K,Index Numbers ;  All groups CPI ;  Melbourne ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130397382W,Index Numbers ;  All groups CPI ;  Brisbane ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130395001V,Index Numbers ;  All groups CPI ;  Adelaide ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130393713F,Index Numbers ;  All groups CPI ;  Perth ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130392355X,Index Numbers ;  All groups CPI ;  Hobart ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130395008K,Index Numbers ;  All groups CPI ;  Darwin ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130393727V,Index Numbers ;  All groups CPI ;  Canberra ;,Index Numbers,All groups CPI,Month,Index Numbers,Original,640101.xlsx
A130393721F,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI,Month,Percent,Original,640101.xlsx
A130397376A,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI ;  Sydney ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI,Month,Percent,Original,640101.xlsx
A130396087L,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI ;  Melbourne ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI,Month,Percent,Original,640101.xlsx
A130397383X,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI ;  Brisbane ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI,Month,Percent,Original,640101.xlsx
A130395002W,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI ;  Adelaide ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI,Month,Percent,Original,640101.xlsx
