Date,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Transport,Other goods and services
1972-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1973-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1973-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1973-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1973-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1974-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1974-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1974-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1974-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1975-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1975-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1975-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1975-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1976-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1976-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1976-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1976-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1977-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1977-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1977-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1977-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1978-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1978-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1978-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1978-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1979-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1979-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1979-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1979-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1980-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1980-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1980-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1980-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1981-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1981-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1981-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1981-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1982-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1982-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1982-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1982-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1983-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1983-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1983-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1983-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1984-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1984-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1984-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1984-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1985-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1985-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1985-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1985-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1986-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1986-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1986-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1986-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1987-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1987-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1987-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1987-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1988-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1988-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1988-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1988-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1989-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1989-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1989-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1989-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1990-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1990-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1990-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1990-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1991-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1991-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1991-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1991-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1992-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1992-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1992-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1992-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1993-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1993-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1993-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1993-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1994-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1994-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1994-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1994-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1995-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1995-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1995-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1995-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1996-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1996-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1996-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1996-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1997-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1997-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1997-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1997-12-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1998-03-31,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1998-06-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
1998-09-30,0.174,0.0650999999999999,0.0317,0.2139,0.079,0.1149,0.32140000000000013
