,headline_index,headline_yoy,trimmed_mean_index,trimmed_mean_yoy,ex_food_energy_index,ex_food_energy_yoy
2001Q1,73.9,,72.7217,,76.4384952366709,
2001Q2,74.5,,73.3035,,76.9910879001769,
2001Q3,74.7,,73.8166,,77.3806693342037,
2001Q4,75.4,,74.4071,,78.1005300984269,
2002Q1,76.1,2.9769959404600588,75.0024,3.136202811540434,78.9250817586609,3.2530553019011643
2002Q2,76.6,2.8187919463087185,75.4523,2.9313743545669624,79.3893633443266,3.115003969367458
2002Q3,77.2,3.346720214190091,75.9529,2.894064478721603,79.8769109624113,3.2259240578889736
2002Q4,77.7,3.05039787798409,76.5079,2.8233864779033224,80.3259931214446,2.8494851702197677
2003Q1,78.7,3.416557161629452,77.143,2.854042003989221,80.8064089507157,2.3836873527829594
2003Q2,78.6,2.610966057441244,77.5648,2.799782113997873,81.2825033401931,2.3846267511374197
2003Q3,79.1,2.4611398963730435,78.0843,2.8062127976680173,81.7792317763072,2.381565324666979
2003Q4,79.6,2.445302445302433,78.6079,2.74481458777458,82.1422808598491,2.261145698701106
2004Q1,80.2,1.9059720457433205,79.1326,2.579106334988257,82.4978211701021,2.093165927492202
2004Q2,80.6,2.5445292620865034,79.6132,2.6408886505218776,82.9795728180018,2.087865663666788
2004Q3,80.9,2.275600505689024,80.0967,2.5772146257314166,83.2715213586379,1.8247781862424484
2004Q4,81.7,2.638190954773889,80.7496,2.7245353202413503,83.8488899559099,2.077625649295789
2005Q1,82.1,2.369077306733147,81.2698,2.700783242304694,84.4109378670661,2.3189905743320693
2005Q2,82.6,2.481389578163773,81.787,2.7304517341345313,84.7767966113919,2.1658629134328367
2005Q3,83.4,3.0902348578492056,82.2983,2.748677536028321,85.1528223316388,2.259236942361631
2005Q4,83.9,2.692778457772338,82.8475,2.5980314453569964,85.5431859418701,2.020654044258796
2006Q1,84.6,3.0450669914738215,83.5365,2.7891049319673566,86.1433670807317,2.0523752696527398
2006Q2,85.9,3.995157384987902,84.2385,2.997420127893191,86.5741938397245,2.120152329618774
2006Q3,86.6,3.8369304556354678,84.8227,3.0673780624873137,87.1285832807917,2.32025304041954
2006Q4,86.7,3.3373063170440975,85.3291,2.9953830833760797,87.6315071198356,2.4412478387052294
2007Q1,86.7,2.4822695035461084,85.8096,2.721085992350658,88.182989351234,2.367706695967442
2007Q2,87.7,2.0954598370197974,86.5683,2.7657187627984747,88.676016020253,2.427769855321582
2007Q3,88.2,1.847575057736739,87.3111,2.9336486577295817,89.1974663337507,2.374517035691426
2007Q4,89.3,2.998846597462501,88.3656,3.558574976180462,90.0191993074007,2.7246960209185156
2008Q1,90.4,4.267589388696669,89.3808,4.16177210941433,90.9243872538039,3.1087604567938465
2008Q2,91.6,4.446978335233731,90.4108,4.4386917613029375,91.9777360924996,3.7233518378774644
2008Q3,92.6,4.9886621315192725,91.5341,4.836727518036077,92.7676593050704,4.002572178408159
2008Q4,92.6,3.6954087346024567,92.1751,4.311066749957004,93.2082866393722,3.542674625533282
2009Q1,92.5,2.3230088495575174,93.0161,4.067204589800055,93.355750575587,2.674049718912319
2009Q2,93.0,1.5283842794759916,93.6323,3.5631805049839205,93.8864470507321,2.0751880175795545
2009Q3,93.7,1.1879049676025932,94.3341,3.058969280301005,94.5405283099672,1.9110851973387133
2009Q4,94.5,2.051835853131756,95.0881,3.1602894924985137,95.2054371122152,2.14267480376511
2010Q1,95.2,2.9189189189189113,95.8685,3.066565895581519,95.8660108673962,2.688918761117698
2010Q2,95.8,3.010752688172036,96.2438,2.789101624119028,96.5036166076445,2.7875903702034854
2010Q3,96.4,2.8815368196371427,96.7931,2.6066925957845433,97.3227000849191,2.942835019738932
2010Q4,97.0,2.645502645502651,97.2035,2.2246737499224567,97.4045790402833,2.309891109975215
2011Q1,98.4,3.3613445378151363,98.0166,2.240673422448447,98.2574442366596,2.4945581313185805
2011Q2,99.3,3.653444676409179,98.8082,2.6644833225620834,98.9231125517081,2.5071557202882566
2011Q3,99.7,3.4232365145228094,99.1982,2.4847845559239357,99.3196818537792,2.051917761342037
2011Q4,99.9,2.989690721649496,99.8224,2.6942445488074007,99.8057155689486,2.465116683757018
2012Q1,99.9,1.5243902439024293,100.2256,2.2536998834891353,100.234844590611,2.0124687440360445
2012Q2,100.5,1.2084592145015227,100.7538,1.9690673446131068,100.634614555035,1.7301335948485042
2012Q3,101.6,1.9057171514543558,101.4758,2.2960094033964484,101.443364178359,2.1382290850531893
2012Q4,102.0,2.102102102102088,101.9856,2.167048678452943,101.790811377847,1.9889600486126868
2013Q1,102.4,2.5025025025025016,102.5412,2.3103877652017157,102.41544392707,2.1754903151346427
2013Q2,102.9,2.3880597014925398,103.1415,2.3698361749134866,102.941869262558,2.292704868722084
2013Q3,103.9,2.2637795275590733,103.9015,2.3904221499115863,103.771547654212,2.2950574389070555
2013Q4,104.7,2.6470588235294246,104.7005,2.6620424844291835,104.573192616157,2.7334306512027062
2014Q1,105.4,2.9296875,105.2654,2.65668823848364,105.199743229649,2.718632264643306
2014Q2,106.1,3.109815354713308,105.998,2.769496274535488,105.947690765298,2.919921237366996
2014Q3,106.3,2.3099133782483072,106.3991,2.4038151518505524,106.400655547356,2.5335537077125547
2014Q4,106.5,1.7191977077363862,107.0159,2.211450757159694,107.049401974003,2.367919823329001
2015Q1,106.8,1.3282732447817747,107.6785,2.2923961719615304,107.793079147028,2.4651542273423477
2015Q2,107.7,1.5080113100848447,108.3242,2.194569708862426,108.349799558599,2.2672592257081847
2015Q3,107.8,1.411100658513642,108.647,2.1127058405569166,108.828910245394,2.2821802041973926
2015Q4,108.3,1.6901408450704203,109.274,2.110060280762016,109.520714074834,2.3085716083039554
2016Q1,108.2,1.310861423220988,109.5377,1.726621377526616,109.889678346635,1.9450220887996528
2016Q2,108.8,1.021355617455888,110.08,1.620875113778819,110.361537626163,1.8567067735792087
2016Q3,109.3,1.3914656771799594,110.4283,1.639529853562438,110.752489930518,1.7675263684866493
2016Q4,109.8,1.3850415512465464,110.8876,1.4766550140015156,111.08034364723,1.4240498572081206
2017Q1,110.5,2.1256931608133023,111.4062,1.7058053985066213,111.587965344824,1.5454472373938044
2017Q2,110.9,1.930147058823528,111.9325,1.6828670058139483,112.089630322102,1.5658468820837879
2017Q3,111.3,1.8298261665141702,112.3485,1.73886585232228,112.668941210239,1.7303911459898735
2017Q4,112.1,2.0947176684881663,112.7532,1.6824243648523307,112.838744166648,1.5829988112049387
2018Q1,112.7,1.9909502262443368,113.3107,1.7095098836509948,113.477013650441,1.6928781699527828
2018Q2,113.2,2.073940486925152,113.7699,1.6415250262435066,113.927063448875,1.6392534452053686
2018Q3,113.5,1.9766397124887813,114.2497,1.6922344312563231,114.181842214078,1.3427844333922856
2018Q4,114.0,1.6949152542372836,114.7678,1.7867342124214591,114.71036417378,1.6586678812800848
2019Q1,114.1,1.2422360248447228,115.0932,1.5731082766234694,114.955408142803,1.3028140632217466
2019Q2,114.9,1.5017667844523075,115.5306,1.5475973873581683,115.649209959592,1.5116219610890047
2019Q3,115.4,1.6740088105726914,115.9729,1.5082752952524148,116.411869628811,1.9530490763601138
2019Q4,116.1,1.8421052631578894,116.4715,1.484475610754954,116.688347491989,1.7243283398634013
2020Q1,116.7,2.2787028921998242,117.0305,1.6832445357327863,117.330960017932,2.0664985784557333
2020Q2,114.5,-0.3481288076588429,116.9811,1.2555115268162664,115.656175088986,0.006022634652191883
2020Q3,116.2,0.6932409012131657,117.3597,1.195796604206678,117.433759845817,0.8778230435301682
2020Q4,117.1,0.8613264427217882,117.9426,1.2630557690078703,118.890143427754,1.8869030053888958
2021Q1,117.8,0.9425878320479919,118.3542,1.1310726690905382,119.509504641248,1.8567517243386122
2021Q2,118.8,3.7554585152838493,118.8981,1.6387262557797877,120.154379433991,3.8892902532390305
2021Q3,119.7,3.0120481927710774,119.8248,2.1004654919874577,120.843714249452,2.9037258179522407
2021Q4,121.4,3.67207514944492,121.038,2.624497001083581,122.104760018389,2.7038545820145643
2022Q1,123.9,5.178268251273344,122.8385,3.7888811719398063,124.303478839265,4.011374837848991
2022Q2,126.2,6.228956228956228,124.7614,4.931365597936388,126.547527913977,5.320778576779395
2022Q3,128.4,7.268170426065157,127.0163,6.001679118179215,128.621564955175,6.436289015138619
2022Q4,130.9,7.825370675453058,129.2225,6.761926006708641,130.838060263672,7.152301223938973
2023Q1,132.7,7.10250201775624,130.81,6.489414963549711,132.508163048521,6.600526619102398
2023Q2,133.8,6.022187004754365,131.9687,5.776866883507248,133.839213891642,5.762013764995588
2023Q3,135.2,5.295950155763229,133.5339,5.131309918490756,134.985725185154,4.947972940771583
2023Q4,136.2,4.0488922841863895,134.7043,4.2421404941090035,135.763469313047,3.7645078499704665
2024Q1,137.6,3.692539562923902,136.0942,4.039599419004669,137.433171099598,3.7167582266411925
2024Q2,138.9,3.811659192825112,137.2649,4.013224347894617,138.838511346917,3.7353009704035545
2024Q3,139.1,2.8846153846153966,138.3395,3.598786525369202,139.933573963016,3.665460752294547
2024Q4,139.5,2.422907488986792,139.0539,3.228998628848534,140.684127751551,3.6244348081277966
2025Q1,140.9,2.398255813953498,140.0847,2.9321602243152167,141.459160079203,2.929415764326171
2025Q2,141.9,2.1598272138228847,140.9555,2.6886698638909134,142.54647592551,2.6707032095208083
2025Q3,143.5,3.163191948238686,142.3925,2.9297489148074396,143.889873830919,2.8272699366262533
2025Q4,144.6,3.6559139784946293,143.7064,3.3458248923618816,145.0990107272426,3.1381528579317086
2026Q1,146.6,4.045422285308731,144.9184,3.45055527120377,146.3590222166673,3.463799823723601
2026Q2,147.5,3.946441155743474,146.096,3.646895651464477,147.4325856405383,3.4277309791801436
2026Q3,149.06226158964193,3.8761404805867095,147.43062618912543,3.5381963159052843,148.71399209120477,3.352646111813584
2026Q4,150.50534224032057,4.0839157955190775,148.83734497448015,3.5704359544739495,149.99877573218637,3.3768424611483994
2027Q1,151.77862643014353,3.532487332976486,150.2374396759013,3.6703687564183074,151.2182159915029,3.3200507226962106
2027Q2,152.93982781847438,3.6880188599826225,151.59358484135126,3.7629947714867384,152.37265733438994,3.350732588992411
2027Q3,154.0443982566398,3.342319252282211,152.89838463884615,3.7086991970763483,153.48259188309297,3.2065575840124483
2027Q4,155.12653012842617,3.070447745786109,154.1587903912392,3.575342880290866,154.5673158725611,3.0457182854155995
2028Q1,156.20318541675996,2.9151396943579932,155.38595470933805,3.426918779062893,155.6396250028605,2.9238600537424997
2028Q2,157.2815489780448,2.838842714484846,156.5903878867889,3.296183707685918,156.70674137984443,2.844397493142825
2028Q3,158.36438613363867,2.8043784297834273,157.78036677516624,3.1929586096357987,157.77248629087168,2.7950364631881497
2028Q4,159.4528563920603,2.788901588949666,158.96188462922905,3.115679764871082,158.83896426272517,2.7636168526637306
2029Q1,160.54767058474062,2.781303823215442,160.13913297631214,3.058949746047057,159.90751460439463,2.742161323927439
2029Q2,161.64944046109073,2.7771162678819072,161.31504146306818,3.017205359817554,160.9791465312713,2.726369723348987
