Period,Value,id
1990-01,40.228,KO0001
1990-02,40.456,KO0001
1990-03,41.021,KO0001
1990-04,41.303,KO0001
1990-05,41.644,KO0001
1990-06,41.926,KO0001
1990-07,42.04,KO0001
1990-08,42.152,KO0001
1990-09,42.209,KO0001
1990-10,42.378,KO0001
1990-11,42.605,KO0001
1990-12,42.719,KO0001
1991-01,43.624,KO0001
1991-02,44.077,KO0001
1991-03,44.642,KO0001
1991-04,44.869,KO0001
1991-05,45.152,KO0001
1991-06,45.49,KO0001
1991-07,45.83,KO0001
1991-08,45.944,KO0001
1991-09,46.057,KO0001
1991-10,46.283,KO0001
1991-11,46.566,KO0001
1991-12,46.679,KO0001
1992-01,46.963,KO0001
1992-02,47.302,KO0001
1992-03,48.037,KO0001
1992-04,48.208,KO0001
1992-05,48.433,KO0001
1992-06,48.489,KO0001
1992-07,48.546,KO0001
1992-08,48.546,KO0001
1992-09,48.659,KO0001
1992-10,48.829,KO0001
1992-11,48.942,KO0001
1992-12,49.055,KO0001
1993-01,49.396,KO0001
1993-02,49.847,KO0001
1993-03,50.583,KO0001
1993-04,50.809,KO0001
1993-05,50.978,KO0001
1993-06,51.092,KO0001
1993-07,51.149,KO0001
1993-08,51.206,KO0001
1993-09,51.206,KO0001
1993-10,51.433,KO0001
1993-11,51.433,KO0001
1993-12,51.545,KO0001
1994-01,52.11,KO0001
1994-02,52.62,KO0001
1994-03,53.185,KO0001
1994-04,53.355,KO0001
1994-05,53.582,KO0001
1994-06,53.977,KO0001
1994-07,54.148,KO0001
1994-08,54.317,KO0001
1994-09,54.26,KO0001
1994-10,54.317,KO0001
1994-11,54.488,KO0001
1994-12,54.545,KO0001
1995-01,55.109,KO0001
1995-02,55.222,KO0001
1995-03,55.789,KO0001
1995-04,56.24,KO0001
1995-05,56.467,KO0001
1995-06,56.524,KO0001
1995-07,56.807,KO0001
1995-08,57.089,KO0001
1995-09,57.259,KO0001
1995-10,57.316,KO0001
1995-11,57.485,KO0001
1995-12,57.77,KO0001
1996-01,58.165,KO0001
1996-02,58.334,KO0001
1996-03,58.958,KO0001
1996-04,59.183,KO0001
1996-05,59.352,KO0001
1996-06,59.465,KO0001
1996-07,59.579,KO0001
1996-08,59.862,KO0001
1996-09,59.976,KO0001
1996-10,60.089,KO0001
1996-11,60.089,KO0001
1996-12,60.145,KO0001
1997-01,60.371,KO0001
1997-02,60.597,KO0001
1997-03,60.994,KO0001
1997-04,61.164,KO0001
1997-05,61.333,KO0001
1997-06,61.446,KO0001
1997-07,61.559,KO0001
1997-08,61.786,KO0001
1997-09,62.013,KO0001
1997-10,62.125,KO0001
1997-11,62.183,KO0001
1997-12,62.465,KO0001
1998-01,63.596,KO0001
1998-02,64.219,KO0001
1998-03,64.728,KO0001
1998-04,64.841,KO0001
1998-05,64.728,KO0001
1998-06,64.614,KO0001
1998-07,64.614,KO0001
1998-08,64.445,KO0001
1998-09,64.445,KO0001
1998-10,64.445,KO0001
1998-11,64.389,KO0001
1998-12,64.277,KO0001
1999-01,64.277,KO0001
1999-02,64.333,KO0001
1999-03,64.445,KO0001
1999-04,64.389,KO0001
1999-05,64.333,KO0001
1999-06,64.277,KO0001
1999-07,64.219,KO0001
1999-08,64.219,KO0001
1999-09,64.219,KO0001
1999-10,64.333,KO0001
1999-11,64.333,KO0001
1999-12,64.333,KO0001
2000-01,64.697,KO0001
2000-02,64.828,KO0001
2000-03,65.286,KO0001
2000-04,65.352,KO0001
2000-05,65.156,KO0001
2000-06,65.221,KO0001
2000-07,65.483,KO0001
2000-08,65.613,KO0001
2000-09,65.94,KO0001
2000-10,66.006,KO0001
2000-11,66.006,KO0001
2000-12,66.202,KO0001
2001-01,66.792,KO0001
2001-02,67.054,KO0001
2001-03,67.512,KO0001
2001-04,67.709,KO0001
2001-05,67.839,KO0001
2001-06,67.906,KO0001
2001-07,67.839,KO0001
2001-08,67.971,KO0001
2001-09,68.102,KO0001
2001-10,68.102,KO0001
2001-11,68.166,KO0001
2001-12,68.363,KO0001
2002-01,68.626,KO0001
2002-02,68.822,KO0001
2002-03,69.411,KO0001
2002-04,69.739,KO0001
2002-05,69.87,KO0001
2002-06,69.87,KO0001
2002-07,69.936,KO0001
2002-08,70.066,KO0001
2002-09,70.263,KO0001
2002-10,70.46,KO0001
2002-11,70.59,KO0001
2002-12,70.787,KO0001
2003-01,71.049,KO0001
2003-02,71.245,KO0001
2003-03,71.965,KO0001
2003-04,72.162,KO0001
2003-05,72.227,KO0001
2003-06,72.293,KO0001
2003-07,72.227,KO0001
2003-08,72.293,KO0001
2003-09,72.489,KO0001
2003-10,72.489,KO0001
2003-11,72.424,KO0001
2003-12,72.817,KO0001
2004-01,73.014,KO0001
2004-02,73.079,KO0001
2004-03,73.668,KO0001
2004-04,73.734,KO0001
2004-05,73.799,KO0001
2004-06,73.864,KO0001
2004-07,74.126,KO0001
2004-08,74.192,KO0001
2004-09,74.192,KO0001
2004-10,74.192,KO0001
2004-11,74.126,KO0001
2004-12,74.389,KO0001
2005-01,74.979,KO0001
2005-02,75.129,KO0001
2005-03,75.507,KO0001
2005-04,75.584,KO0001
2005-05,75.584,KO0001
2005-06,75.584,KO0001
2005-07,75.584,KO0001
2005-08,75.735,KO0001
2005-09,75.735,KO0001
2005-10,75.735,KO0001
2005-11,75.811,KO0001
2005-12,75.961,KO0001
2006-01,76.112,KO0001
2006-02,76.339,KO0001
2006-03,76.867,KO0001
2006-04,76.943,KO0001
2006-05,77.171,KO0001
2006-06,77.094,KO0001
2006-07,77.246,KO0001
2006-08,77.246,KO0001
2006-09,77.398,KO0001
2006-10,77.398,KO0001
2006-11,77.549,KO0001
2006-12,77.625,KO0001
2007-01,77.851,KO0001
2007-02,78.229,KO0001
2007-03,78.834,KO0001
2007-04,78.985,KO0001
2007-05,79.06,KO0001
2007-06,79.06,KO0001
2007-07,79.212,KO0001
2007-08,79.287,KO0001
2007-09,79.287,KO0001
2007-10,79.439,KO0001
2007-11,79.513,KO0001
2007-12,79.664,KO0001
2008-01,80.043,KO0001
2008-02,80.345,KO0001
2008-03,81.252,KO0001
2008-04,81.403,KO0001
2008-05,81.705,KO0001
2008-06,81.856,KO0001
2008-07,82.235,KO0001
2008-08,82.235,KO0001
2008-09,82.537,KO0001
2008-10,82.613,KO0001
2008-11,82.915,KO0001
2008-12,83.217,KO0001
2009-01,83.217,KO0001
2009-02,83.596,KO0001
2009-03,83.973,KO0001
2009-04,83.897,KO0001
2009-05,84.2,KO0001
2009-06,84.351,KO0001
2009-07,84.427,KO0001
2009-08,84.502,KO0001
2009-09,84.653,KO0001
2009-10,84.653,KO0001
2009-11,84.879,KO0001
2009-12,85.031,KO0001
2010-01,85.242,KO0001
2010-02,85.414,KO0001
2010-03,85.414,KO0001
2010-04,85.5,KO0001
2010-05,85.672,KO0001
2010-06,85.757,KO0001
