Section/Chart Name,,MCT Common to all,,,,Trend Inflation,,Sector Aggs,,,Sector Specifc,,,,,
Top-Level-Route,,MCT,MCT,MCT,MCT,trend-inflation,trend-inflation,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific
Radio Button Routes,,,,,,,,,,,all: goods,all: goods,all: services-ex-housing,all: services-ex-housing,all: housing,all: housing
column name,Date,MCT,MCT,MCT,MCT,Headline PCE inflation (YoY),Core PCE inflation (YoY),Goods,Services ex. housing,Housing,Goods: Common,Goods: Sector-specific,Services ex. housing: Common,Services ex. housing: Sector-specific,Housing: Common,Housing: Sector-specific
,1/1/1960,1.19,1.51,1.84,-0.32,1.69,2.07,0.5,-0.38,-0.43,0.06,0.42,0.03,-0.43,0,-0.43
,2/1/1960,1.22,1.52,1.84,-0.31,1.7,2.19,0.58,-0.47,-0.42,0.14,0.42,0.08,-0.57,0,-0.43
,3/1/1960,1.23,1.53,1.84,-0.3,1.69,2.07,0.56,-0.46,-0.41,0.14,0.4,0.08,-0.57,0,-0.42
,4/1/1960,1.22,1.52,1.81,-0.31,1.86,2,0.47,-0.39,-0.4,0.08,0.38,0.04,-0.45,0,-0.41
,5/1/1960,1.05,1.36,1.64,-0.47,1.91,2.05,0.33,-0.43,-0.38,-0.01,0.36,-0.02,-0.42,0,-0.38
,6/1/1960,1.03,1.3,1.59,-0.52,1.66,1.8,0.27,-0.42,-0.37,-0.06,0.34,-0.04,-0.37,0,-0.37
,7/1/1960,1.23,1.49,1.75,-0.34,1.63,1.74,0.36,-0.35,-0.35,0.01,0.36,0,-0.35,0,-0.36
,8/1/1960,1.31,1.57,1.85,-0.25,1.66,1.73,0.4,-0.3,-0.35,0.02,0.37,0,-0.32,0,-0.36
,9/1/1960,1.34,1.6,1.86,-0.23,1.45,1.54,0.41,-0.3,-0.34,0.03,0.37,0.01,-0.33,0,-0.35
,10/1/1960,1.13,1.38,1.65,-0.44,1.32,1.43,0.28,-0.38,-0.35,-0.08,0.37,-0.05,-0.31,0,-0.34
,11/1/1960,1.01,1.27,1.54,-0.55,1.6,1.51,0.23,-0.45,-0.33,-0.13,0.37,-0.09,-0.34,0,-0.33
,12/1/1960,1.06,1.32,1.58,-0.51,1.5,1.33,0.28,-0.45,-0.34,-0.08,0.37,-0.06,-0.37,0,-0.33
,1/1/1961,0.77,1.05,1.32,-0.78,1.58,1.33,0.17,-0.61,-0.35,-0.18,0.37,-0.13,-0.45,0,-0.34
,2/1/1961,0.9,1.16,1.41,-0.67,1.57,1.24,0.21,-0.54,-0.35,-0.14,0.36,-0.1,-0.42,0,-0.34
,3/1/1961,0.87,1.13,1.39,-0.7,1.45,1.26,0.2,-0.56,-0.34,-0.16,0.38,-0.11,-0.43,0,-0.33
,4/1/1961,0.95,1.2,1.47,-0.62,1.03,1.22,0.22,-0.52,-0.33,-0.15,0.38,-0.11,-0.39,0,-0.32
,5/1/1961,1.11,1.38,1.65,-0.45,0.98,1.18,0.3,-0.42,-0.33,-0.09,0.39,-0.06,-0.34,0,-0.33
,6/1/1961,1.15,1.39,1.64,-0.44,0.98,1.28,0.23,-0.32,-0.34,-0.14,0.38,-0.1,-0.2,0,-0.33
,7/1/1961,1.12,1.36,1.61,-0.47,1.02,1.25,0.19,-0.3,-0.35,-0.18,0.39,-0.13,-0.15,0,-0.34
,8/1/1961,1.09,1.33,1.59,-0.49,0.93,1.21,0.18,-0.3,-0.37,-0.19,0.39,-0.14,-0.14,0,-0.35
,9/1/1961,1.07,1.32,1.57,-0.51,0.99,1.33,0.17,-0.31,-0.38,-0.2,0.39,-0.14,-0.14,0,-0.36
,10/1/1961,1.02,1.27,1.53,-0.56,0.87,1.31,0.18,-0.36,-0.38,-0.2,0.39,-0.14,-0.2,-0.01,-0.37
,11/1/1961,1.07,1.32,1.57,-0.5,0.53,1.05,0.2,-0.33,-0.38,-0.18,0.4,-0.13,-0.19,0,-0.37
,12/1/1961,1.13,1.37,1.63,-0.46,0.54,1.17,0.23,-0.31,-0.37,-0.16,0.41,-0.11,-0.18,0,-0.36
,1/1/1962,1.39,1.66,1.93,-0.17,0.71,1.27,0.39,-0.21,-0.35,-0.04,0.43,-0.03,-0.18,0,-0.35
,2/1/1962,1.37,1.62,1.87,-0.21,0.89,1.33,0.4,-0.27,-0.35,-0.02,0.43,-0.02,-0.24,0,-0.35
,3/1/1962,1.37,1.62,1.88,-0.2,1.08,1.54,0.42,-0.29,-0.35,-0.01,0.43,-0.01,-0.28,0,-0.35
,4/1/1962,1.07,1.32,1.57,-0.51,1.25,1.42,0.23,-0.37,-0.36,-0.14,0.38,-0.1,-0.25,0,-0.36
,5/1/1962,0.82,1.07,1.32,-0.76,1.26,1.43,0.1,-0.5,-0.36,-0.24,0.36,-0.17,-0.31,-0.01,-0.35
,6/1/1962,0.84,1.09,1.35,-0.74,1.28,1.46,0.14,-0.52,-0.36,-0.2,0.36,-0.15,-0.36,0,-0.35
,7/1/1962,0.71,0.97,1.23,-0.86,1,1.39,0.14,-0.64,-0.36,-0.22,0.37,-0.16,-0.46,-0.01,-0.35
,8/1/1962,0.52,0.78,1.04,-1.04,1.06,1.3,0.07,-0.76,-0.36,-0.29,0.37,-0.21,-0.53,-0.01,-0.34
,9/1/1962,0.74,1,1.25,-0.83,1.44,1.3,0.18,-0.65,-0.37,-0.2,0.4,-0.14,-0.49,0,-0.36
,10/1/1962,0.83,1.08,1.32,-0.75,1.35,1.26,0.21,-0.6,-0.37,-0.17,0.41,-0.13,-0.45,0,-0.36
,11/1/1962,0.99,1.25,1.49,-0.58,1.41,1.31,0.28,-0.5,-0.37,-0.14,0.43,-0.1,-0.38,0,-0.36
,12/1/1962,0.94,1.2,1.45,-0.62,1.35,1.26,0.27,-0.52,-0.37,-0.17,0.45,-0.12,-0.38,0,-0.36
