series_code,name_en,name_ja,serial_number,weight_per_10000,weight_raw,first_period,last_period,observations,missing_periods,source_file_id,base_year
0001,All items,総合,001,10000,3543757090,1971,2025,55,1,000040482833,2025
0161,"All items, less fresh food",生鮮食品を除く総合,740,9621,3409504328,1971,2025,55,1,000040482833,2025
0163,"All items, less imputed rent",持家の帰属家賃を除く総合,742,8366,2964685470,1970,2025,56,0,000040482833,2025
0166,"All items, less imputed rent & fresh food",持家の帰属家賃及び生鮮食品を除く総合,745,7987,2830432708,1971,2025,55,1,000040482833,2025
0178,"All items, less fresh food and energy",生鮮食品及びエネルギーを除く総合,747,8872,3144158123,1971,2025,55,1,000040482833,2025
0168,"All items, less food (less alcoholic beverages) and energy",食料（酒類を除く）及びエネルギーを除く総合,748,6609,2341950403,1971,2025,55,1,000040482833,2025
0002,Food,食料,002,2754,975803165,1971,2025,55,1,000040482833,2025
0157,Fresh food,生鮮食品,736,379,134252762,1971,2025,55,1,000040482833,2025
0172,"Food, less fresh food",生鮮食品を除く食料,741,2375,841550403,1971,2025,55,1,000040482833,2025
0003,Cereals,穀類,003,252,89417743,1971,2025,55,1,000040482833,2025
0008,Fish & seafood,魚介類,021,179,63331028,1971,2025,55,1,000040482833,2025
0158,Fresh fish & seafood (reentry),生鮮魚介（再掲）,737,97,34438066,1971,2025,55,1,000040482833,2025
0013,Meats,肉類,055,242,85873687,1971,2025,55,1,000040482833,2025
0016,Dairy products & eggs,乳卵類,067,131,46467605,1971,2025,55,1,000040482833,2025
0021,Vegetables & seaweeds,野菜・海藻,079,276,97870815,1971,2025,55,1,000040482833,2025
0159,Fresh vegetables (reentry),生鮮野菜（再掲）,738,185,65627165,1971,2025,55,1,000040482833,2025
0027,Fruits,果物,128,106,37528886,1971,2025,55,1,000040482833,2025
0160,Fresh fruits (reentry),生鮮果物（再掲）,739,96,34187531,1971,2025,55,1,000040482833,2025
0030,"Oils, fats & seasonings",油脂・調味料,148,120,42480425,1971,2025,55,1,000040482833,2025
0033,Cakes & candies,菓子類,172,267,94788055,1971,2025,55,1,000040482833,2025
0034,Cooked food,調理食品,191,391,138511440,1971,2025,55,1,000040482833,2025
0037,Beverages,飲料,226,170,60169161,1971,2025,55,1,000040482833,2025
0041,Alcoholic beverages,酒類,249,111,39342683,1971,2025,55,1,000040482833,2025
0042,Meals outside the home,外食,258,508,180021637,1971,2025,55,1,000040482833,2025
0045,Housing,住居,286,2182,773321148,1971,2025,55,1,000040482833,2025
0164,"Housing, less imputed rent",持家の帰属家賃を除く住居,743,548,194249528,1971,2025,55,1,000040482833,2025
0046,Rent,家賃,287,1861,659437087,1971,2025,55,1,000040482833,2025
0165,"Rent, less imputed rent",持家の帰属家賃を除く家賃,744,227,80365467,1971,2025,55,1,000040482833,2025
0051,Repairs & maintenance,設備修繕・維持,295,321,113884061,1971,2025,55,1,000040482833,2025
0054,"Fuel, light & water charges",光熱・水道,315,698,247346867,1971,2025,55,1,000040482833,2025
0056,Electricity,電気代,316,376,133318023,1971,2025,55,1,000040482833,2025
0057,Gas,ガス代,318,139,49084785,1971,2025,55,1,000040482833,2025
0058,Other fuel & light,他の光熱,321,39,13761542,1971,2025,55,1,000040482833,2025
0059,Water & sewerage charges,上下水道料,323,144,51182517,1986,2025,40,16,000040482833,2025
0060,Furniture & household utensils,家具・家事用品,326,372,131897186,1971,2025,55,1,000040482833,2025
0061,Household durable goods,家庭用耐久財,327,125,44403921,1971,2025,55,1,000040482833,2025
0066,Interior furnishings,室内装備品,344,17,5998863,1971,2025,55,1,000040482833,2025
0070,Bedding,寝具類,349,23,8214562,1971,2025,55,1,000040482833,2025
0073,Domestic utensils,家事雑貨,355,70,24963736,1971,2025,55,1,000040482833,2025
0077,Domestic non-durable goods,家事用消耗品,370,110,38822448,1971,2025,55,1,000040482833,2025
0081,Domestic services,家事サービス,385,27,9493656,1971,2025,55,1,000040482833,2025
0082,Clothes & footwear,被服及び履物,393,299,105807048,1971,2025,55,1,000040482833,2025
0083,Clothes,衣料,394,121,42767080,1971,2025,55,1,000040482833,2025
0084,Japanese clothing,和服,395,3,1089323,1971,2025,55,1,000040482833,2025
0085,Clothing,洋服,397,118,41677757,1971,2025,55,1,000040482833,2025
0089,"Shirts, sweaters & underwear",シャツ・セーター・下着類,427,93,32904173,1971,2025,55,1,000040482833,2025
0090,Shirts & sweaters,シャツ・セーター類,428,63,22334968,1971,2025,55,1,000040482833,2025
0094,Underwear,下着類,444,30,10569205,1971,2025,55,1,000040482833,2025
0098,Footwear,履物類,455,45,15793408,1971,2025,55,1,000040482833,2025
0103,Other clothing,他の被服,462,24,8627972,1971,2025,55,1,000040482833,2025
0106,Services related to clothing,被服関連サービス,468,16,5714415,1971,2025,55,1,000040482833,2025
0107,Medical care,保健医療,473,466,165090296,1971,2025,55,1,000040482833,2025
0108,Medicines & health fortification,医薬品・健康保持用摂取品,474,117,41625151,1971,2025,55,1,000040482833,2025
0109,Medical supplies & appliances,保健医療用品・器具,488,86,30404943,1971,2025,55,1,000040482833,2025
0110,Medical services,保健医療サービス,501,263,93060202,1971,2025,55,1,000040482833,2025
