code,name,parent,depth,raw_weight,rounded_weight,official_type
0001,All items,,0,3543757090,10000,Group
0002,Food,0001,1,975803165,2754,Group
0003,Cereals,0002,2,89417743,252,Group
0004,Rice,0003,3,35742127,101,Group
1001,Non-glutinous rice-A,0004,4,11286986,32,Item
1002,Non-glutinous rice-B,0004,4,24455141,69,Item
0005,Bread,0003,3,29335362,83,Group
1021,White bread,0005,4,11168932,32,Item
1022,Bean-jam buns,0005,4,14129442,40,Item
1023,Curry buns,0005,4,4036988,11,Item
0006,Noodles,0003,3,18739691,53,Group
1031,Boiled “Udon”,0006,4,3347735,9,Item
1041,"“Somen”, fine wheat noodles",0006,4,2097718,6,Item
1042,Spaghetti,0006,4,1365264,4,Item
1051,Instant noodles in cups,0006,4,7642049,22,Item
1052,Chinese noodles,0006,4,4286925,12,Item
0007,Other cereals,0003,3,5600563,16,Group
1071,Wheat flour,0007,4,884625,2,Item
1081,"“Mochi”, rice-cakes",0007,4,2556328,7,Item
1090,Cereal,0007,4,2159610,6,Item
0008,Fish & seafood,0002,2,63331028,179,Group
0009,Fresh fish & seafood,0008,3,34438066,97,Group
1101,Tuna fish,0009,4,7216472,20,Item
1102,Horse mackerel,0009,4,1256052,4,Item
1103,Sardines,0009,4,562043,2,Item
1104,Bonito,0009,4,2117227,6,Item
1106,Salmon,0009,4,6903768,19,Item
1107,Mackerel,0009,4,1120172,3,Item
1108,Saury,0009,4,1301265,4,Item
1110,Sea bream,0009,4,1362069,4,Item
1111,Yellowtail,0009,4,3330817,9,Item
1112,Cuttlefish,0009,4,2121212,6,Item
1113,Octopus,0009,4,1367983,4,Item
1114,Prawns,0009,4,3673922,10,Item
1131,Short-necked clams,0009,4,701405,2,Item
1132,Oysters,0009,4,704354,2,Item
1133,Scallops,0009,4,699305,2,Item
0010,Salted & dried fish,0008,3,11414582,32,Group
1141,Salted salmon,0010,4,3089010,9,Item
1142,Salted cod roe,0010,4,2341850,7,Item
1143,"“Shirasu-boshi”, dried young sardines",0010,4,1787952,5,Item
1144,Dried horse mackerel,0010,4,600574,2,Item
1150,Capelin,0010,4,798937,2,Item
1167,Salmon roe,0010,4,1198398,3,Item
1168,Salted mackerel,0010,4,1597861,5,Item
0011,Fish-paste products,0008,3,7950453,22,Group
1151,"“Agekamaboko”, fried fish-paste patties",0011,4,2554858,7,Item
1152,"“Chikuwa”, baked fish-paste bars",0011,4,2156078,6,Item
1153,"“Kamaboko”, steamed fish-paste cakes",0011,4,3239517,9,Item
0012,Other processed fish & seafood,0008,3,9527927,27,Group
1161,Dried bonito fillets,0012,4,1093794,3,Item
1165,Pickled fish,0012,4,3730427,11,Item
1166,Fish prepared in soy sauce,0012,4,1048517,3,Item
1173,Canned fish,0012,4,3655189,10,Item
0013,Meats,0002,2,85873687,242,Group
0014,Raw meats,0013,3,69932557,197,Group
1201,Beef (domestic),0014,4,11679233,33,Item
1203,Beef (imported),0014,4,7786157,22,Item
1211,Pork (domestic),0014,4,19687454,56,Item
1214,Pork (imported),0014,4,13124964,37,Item
1221,Chicken,0014,4,17654749,50,Item
0015,Meat products,0013,3,15941130,45,Group
1252,Ham,0015,4,4195128,12,Item
1261,Sausages,0015,4,7296618,21,Item
1271,Bacon,0015,4,2248448,6,Item
1292,Seasoned meat,0015,4,2200936,6,Item
0016,Dairy products & eggs,0002,2,46467605,131,Group
0017,Fresh milk & dairy products,0016,3,34592763,98,Group
0018,Fresh milk,0017,4,13336836,38,Group
1303,Fresh milk,0018,5,13336836,38,Item
0019,Dairy products,0017,4,21255927,60,Group
1311,Powdered milk,0019,5,934746,3,Item
1333,Yogurt,0019,5,12787334,36,Item
1321,Butter,0019,5,1284273,4,Item
1331,Cheese (domestic),0019,5,3749746,11,Item
1332,Cheese (imported),0019,5,2499828,7,Item
0020,Eggs,0016,3,11874842,34,Group
1341,Hen eggs,0020,4,11874842,34,Item
0021,Vegetables & seaweeds,0002,2,97870815,276,Group
0022,Fresh vegetables,0021,3,65627165,185,Group
1401,Cabbage,0022,4,3601928,10,Item
1402,Spinach,0022,4,2169870,6,Item
1403,Chinese cabbage,0022,4,1763102,5,Item
1405,Welsh onions,0022,4,3969885,11,Item
1406,Lettuce,0022,4,2952184,8,Item
1409,Broccoli,0022,4,3108895,9,Item
1407,Bean sprouts,0022,4,1170912,3,Item
1410,Asparagus,0022,4,1525532,4,Item
1411,Sweet potatoes,0022,4,1214849,3,Item
1412,White potatoes,0022,4,2886112,8,Item
1413,Taros,0022,4,719680,2,Item
1414,Radishes,0022,4,1684226,5,Item
1415,Carrots,0022,4,2718906,8,Item
1416,Burdocks,0022,4,925399,3,Item
1417,Onions,0022,4,4133309,12,Item
1419,Lotus roots,0022,4,917477,3,Item
1420,"“Naga-imo”, yams",0022,4,1617556,5,Item
1421,Ginger,0022,4,647021,2,Item
1430,Green soybeans,0022,4,760251,2,Item
1432,Kidney beans,0022,4,760251,2,Item
1433,Pumpkins,0022,4,1702978,5,Item
1434,Cucumbers,0022,4,3404727,10,Item
1435,Eggplants,0022,4,2122132,6,Item
1436,Tomatoes,0022,4,7918717,22,Item
1437,Green peppers,0022,4,2244585,6,Item
1438,"“Shiitake”, Japanese mushrooms, fresh",0022,4,2827661,8,Item
1442,"“Enokitake”, mushrooms",0022,4,2109388,6,Item
1443,"“Shimeji”, mushrooms",0022,4,2807627,8,Item
1444,Cut vegetables,0022,4,1242005,4,Item
0023,Processed vegetables & seaweeds,0021,3,32243650,91,Group
0024,Dried vegetables & seaweeds,0023,4,8188553,23,Group
1453,"“Shiitake”, Japanese mushrooms, dried",0024,5,427385,1,Item
1461,Dried laver,0024,5,3961105,11,Item
1462,"“Wakame”, seaweed",0024,5,1886034,5,Item
1463,Dried tangle,0024,5,861666,2,Item
1464,"“Hijiki”, edible brown algae",0024,5,1052363,3,Item
0025,Soybean products,0023,4,12088669,34,Group
1471,"“Tofu”, bean curd",0025,5,4826370,14,Item
1472,Fried bean curd,0025,5,2743163,8,Item
1473,"“Natto”, fermented soybeans",0025,5,4519136,13,Item
0026,Other processed vegetables & seaweeds,0023,4,11966428,34,Group
1481,"“Konnyaku”, devil's-tongue",0026,5,1511477,4,Item
1482,"“Umeboshi”, pickled plums",0026,5,2782039,8,Item
1483,Pickled radishes,0026,5,2207607,6,Item
1487,“Kimuchi”,0026,5,2723583,8,Item
1485,Tangle prepared in soy sauce,0026,5,1583012,4,Item
1491,Canned vegetables,0026,5,1158710,3,Item
0027,Fruits,0002,2,37528886,106,Group
0028,Fresh fruits,0027,3,34187531,96,Group
1502,Apples,0028,4,4051805,11,Item
1511,Mandarin oranges,0028,4,4948472,14,Item
1515,Oranges,0028,4,701528,2,Item
