file_id,frequency,title,url,catalog_url,base_year,rows,series,first_period,last_period,nonmissing_values,missing_markers,sha256,retrieved_utc
000040482943,monthly,Subgroup Index (January 1970 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482943&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,78,1970-01,2026-08,52188,[nan],dc4f84532e4d894a34b85536f1cbdade4e23ac53e515aa63159432d44cc5000c,2026-09-18T16:45:07.109429+00:00
000040482944,monthly,"Index of All items, less imputed rent (August 1946 - the Recent Month)",https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482944&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,968,1,1946-01,2026-08,961,[nan],eb0c3c2481db42bdd22737651a05a4c07a9c2270558ce341d3fef87006409fed,2026-09-18T16:45:07.143367+00:00
000040482945,monthly,Indices of Items (January 1970 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482945&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,751,1970-01,2026-08,385729,[nan],58b1340e2e64758cff8284fbde142f1ebd05fe6c1da1d298b3d9699f3cd15e4e,2026-09-18T16:45:08.181134+00:00
000040482946,monthly,Goods and Service Group Index (January 1970 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482946&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,41,1970-01,2026-08,25117,[nan],3941d8c03e46acadd6f700c3cf1dfe47050d79ee39887a9c45a3a18ceff72c76,2026-09-18T16:45:08.618764+00:00
000040482947,monthly,Seasonally Adjusted Consumer Price Index (January 2010 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482947&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,200,5,2010-01,2026-08,1000,[nan],daaade93bc6d88bcff25a7a4c3dfe17edcd38792aa8f1cdc52299e2c20b193cb,2026-09-18T16:45:08.650465+00:00
000040482948,monthly,Subgroup Index; Percentage change from the previous month (February 1970 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482948&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,78,1970-01,2026-08,52111,[nan],357607faf809e9181ace069bfc23cd5173e3dc250ad2fd723a2b487e23fadb91,2026-09-18T16:45:08.822896+00:00
000040482949,monthly,"Index of All items, less imputed rent; Percentage change from the previous month (September 1946 - the Recent Month)",https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482949&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,968,1,1946-01,2026-08,960,[nan],f170786a22f8c46857f6e86e612c24df0880587ef04a7a76dcfab35880c3a766,2026-09-18T16:45:08.869429+00:00
000040482950,monthly,Indices of Items; Percentage change from the previous month (February 1970 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482950&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,751,1970-01,2026-08,384084,[nan],29122767530e24d0639076fa4d3b6a75de8261f694dac2c9f8c99334266c19a9,2026-09-18T16:45:10.003962+00:00
000040482951,monthly,Goods and Service Group Index; Percentage change from the previous month (February 1970 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482951&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,41,1970-01,2026-08,25076,[nan],bc1c97cdc7931df326834c3d021957de427fb18495eb8fa34f2b999120aa1e23,2026-09-18T16:45:10.342164+00:00
000040482952,monthly,Seasonally Adjusted Consumer Price Index; Percentage change from the previous month (February 2010 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482952&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,200,5,2010-01,2026-08,995,[nan],982f45a273b52ce210449e7dab42e5090ab68d8f16f99b3beb8a8a2cf3b1cabd,2026-09-18T16:45:10.364948+00:00
000040482953,monthly,Subgroup Index; Percentage change over the year (January 1971 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482953&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,78,1970-01,2026-08,51264,[nan],dde62099860a604a22862ee87578631936784b5a22f3e8302c2676ad2bf99af3,2026-09-18T16:45:10.499006+00:00
000040482954,monthly,"Index of All items, less imputed rent; Percentage change over the year (August 1947 - the Recent Month)",https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482954&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,968,1,1946-01,2026-08,949,[nan],138c7f13f7ad8032d1e76f61daf692a656322d22fbb2a040669bb1d46e3f3239,2026-09-18T16:45:10.533659+00:00
000040482955,monthly,Indices of Items; Percentage change over the year (January 1971 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482955&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,751,1970-01,2026-08,376793,[nan],87170bb742931dec354bef23e2c1f6e7f96e0bf24b9b1b2e774dffdb5ac15cf9,2026-09-18T16:45:11.578110+00:00
000040482956,monthly,Goods and Service Group Index; Percentage change over the year (January 1971 - the Recent Month),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482956&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243886,2025,680,41,1970-01,2026-08,24625,[nan],28e861e7cedc7edf29649371455016b12683717fe29867a347f4b759b55a36aa,2026-09-18T16:45:11.939506+00:00
000040482829,annual,Subgroup Index (1970 - the Recent Year),https://www.e-stat.go.jp/en/stat-search/file-download?statInfId=000040482829&fileKind=1,https://www.e-stat.go.jp/en/stat-search/files?tstat=000001243876&toukei=00200573&cycle=0&tclass1=000001243880&tclass2=000001243881&tclass3=000001243883&layout=datalist&page=1&tclass5val=0&tclass4=000001243890,2025,56,78,1970,2025,4297,[nan],f639475ca393ec12e884aaaea5ea2d75da271ee15490486d8edede44d0d41370,2026-09-18T16:45:13.459614+00:00
