類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),742
ウエイト(Weight),2964685470
ウエイト１万分比(Weight per 10000),8366
1946  ,
1947  ,4.7
1948  ,8.5
1949  ,11.3
1950  ,10.4
1951  ,12.3
1952  ,13.0
1953  ,13.8
1954  ,14.7
1955  ,14.5
1956  ,14.6
1957  ,15.0
1958  ,15.0
1959  ,15.1
1960  ,15.7
1961  ,16.5
1962  ,17.6
1963  ,19.0
1964  ,19.7
1965  ,21.0
1966  ,22.1
1967  ,22.9
1968  ,24.1
1969  ,25.5
1970  ,27.4
1971  ,29.0
1972  ,30.4
1973  ,33.9
1974  ,42.2
1975  ,47.2
1976  ,51.6
1977  ,55.8
1978  ,57.9
1979  ,59.9
1980  ,64.7
1981  ,67.9
1982  ,69.7
1983  ,71.0
1984  ,72.6
1985  ,74.1
1986  ,74.4
1987  ,74.2
1988  ,74.6
1989  ,76.3
1990  ,78.7
1991  ,81.3
1992  ,82.6
1993  ,83.5
1994  ,83.9
1995  ,83.7
1996  ,83.7
1997  ,85.0
1998  ,85.6
1999  ,85.3
2000  ,84.5
2001  ,83.8
2002  ,82.8
2003  ,82.6
2004  ,82.6
2005  ,82.3
2006  ,82.5
2007  ,82.6
2008  ,83.9
2009  ,82.7
2010  ,82.0
2011  ,81.8
2012  ,81.8
2013  ,82.2
2014  ,84.9
2015  ,85.8
2016  ,85.7
2017  ,86.2
2018  ,87.2
2019  ,87.7
2020  ,87.7
2021  ,87.4
2022  ,90.0
2023  ,93.5
2024  ,96.4
2025  ,100.0
