類・品目,総合,財,生鮮食品を除く財,農水畜産物,生鮮商品,他の農水畜産物,米類,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,持家の帰属家賃を除くサービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
Group/Item,All items,Goods,"Goods, less fresh food","Agricultural, aquatic & livestock products","Fresh food, raw meats & cut flowers","Other agricultural, aquatic & livestock products",Rice,Industrial products,Food products,Textiles,Petroleum products,Other industrial products,"Electricity, manufactured & piped gas & water charges",Publications,Services,"Services, less imputed rent",Public services,Meals outside the home,"House rent, public, Urban Renaissance Agency & public corporation",Services related to domestic duties,Services related to medical care & welfare,Services related to forwarding & communication,Services related to education,Services related to culture & recreation,General services,Meals outside the home,"House rent, private","House rent, private (wooden)","House rent, private (non-wooden)",Imputed rent,Imputed rent (wooden),Imputed rent (non-wooden),Other services,Services related to domestic duties,Services related to medical care & welfare,Services related to education,"Services related to communication, culture & recreation",Durable goods,Semi-durable goods,Non-durable goods,Public utilities charges
類・品目符号(Group/Item code),0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
含類総連番(Serial number),801,802,836,803,804,805,831,806,807,808,809,810,811,812,813,837,814,815,816,817,818,819,820,821,822,823,824,838,839,825,840,841,826,827,828,829,830,832,833,834,835
ウエイト(Weight),3543757090,1784525160,1650272398,262830115,227087988,35742127,35742127,1294287490,555407694,105720530,100320723,532838543,195102831,32304724,1759231930,1180160310,382284967,6069272,3442595,162245321,100902509,80217267,5446675,23961328,1376946963,173952365,76922872,,,579071620,,,547000106,173474194,12668017,102557900,258299995,239912446,219406737,1325205977,591827132
ウエイト１万分比(Weight per 10000),10000,5036,4657,742,641,101,101,3652,1567,298,283,1504,551,91,4964,3330,1079,17,10,458,285,226,15,68,3886,491,217,,,1634,,,1544,490,36,289,729,677,619,3740,1670
1970  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971  ,6.3,5.4,5.8,2.6,3.3,0.3,0.5,6.3,8.0,9.2,7.7,1.4,-0.1,14.6,7.4,7.8,2.9,,9.2,0.2,0.8,4.4,0.6,0.0,9.8,11.0,8.3,,,9.2,,,10.0,12.1,,7.4,44.0,-1.7,,,1.4
1972  ,4.9,3.2,3.7,2.3,1.7,3.9,3.6,3.7,4.4,5.3,0.9,0.8,1.6,4.4,7.6,7.6,6.8,,5.9,1.5,11.5,3.2,6.2,0.0,8.6,7.7,8.3,,,10.3,,,8.2,9.1,,9.2,1.9,-1.3,,,3.7
1973  ,11.7,12.4,12.0,14.1,16.2,8.0,8.3,12.3,11.6,23.0,12.7,5.3,2.5,12.1,9.8,10.3,4.5,,8.1,2.1,-3.1,3.8,10.1,0.0,11.7,14.5,8.5,,,9.9,,,13.1,17.1,,9.9,7.0,2.3,,,2.4
1974  ,23.2,26.7,26.1,23.8,27.1,14.2,13.9,28.3,32.6,21.5,48.4,24.3,13.8,32.3,16.3,18.9,10.2,,5.3,13.3,6.2,7.2,9.6,0.0,17.5,24.7,7.9,,,7.8,,,24.5,34.4,,17.3,11.4,23.0,,,7.7
1975  ,11.7,9.9,10.1,15.0,10.9,28.9,29.1,7.4,10.2,4.8,12.3,4.4,13.4,17.8,15.2,16.4,14.6,,8.1,8.8,13.0,10.1,6.1,0.0,14.9,16.3,9.7,,,11.1,,,18.9,13.8,,26.8,15.0,3.9,,,10.8
1976  ,9.4,8.1,7.1,13.0,12.5,14.7,14.7,6.6,5.4,8.0,7.2,5.9,10.9,2.8,11.7,12.1,13.7,,10.1,6.7,6.3,10.9,49.6,30.8,10.7,9.7,10.2,,,10.3,,,11.5,9.1,65.0,47.4,6.7,1.4,,,21.3
1977  ,8.1,5.7,5.1,7.2,6.3,10.2,10.0,5.1,6.1,6.0,3.3,3.0,11.3,2.1,12.4,13.2,25.5,,24.2,5.7,2.0,37.5,32.6,16.8,9.1,7.3,9.2,,,9.7,,,10.2,8.2,11.4,13.7,7.0,1.1,,,14.6
1978  ,4.2,2.5,2.7,1.7,0.7,5.9,5.9,2.8,5.1,3.5,-8.0,2.1,0.2,5.1,6.5,6.5,8.1,,13.6,3.3,12.2,4.0,30.0,0.0,6.8,4.4,7.7,,,8.8,,,6.5,4.3,17.1,9.3,3.5,1.0,,,4.9
1979  ,3.7,2.8,2.6,2.6,2.7,2.0,2.1,3.0,1.3,4.9,15.3,1.1,1.6,4.3,4.8,5.0,6.4,,12.8,2.6,0.7,3.2,20.2,0.0,4.6,2.9,4.6,,,5.5,,,5.2,4.8,6.1,7.1,2.0,1.0,,,3.6
1980  ,7.7,8.8,8.6,7.3,8.7,2.7,2.7,7.8,4.9,5.0,33.8,5.0,28.8,8.7,7.8,6.5,5.9,,6.9,4.5,0.1,2.4,21.1,15.9,6.1,6.3,4.2,,,4.7,,,7.4,7.9,4.0,6.4,7.5,1.7,,,11.1
1981  ,4.9,4.9,4.7,5.5,5.7,4.1,3.9,4.3,5.3,3.9,3.6,3.4,9.0,7.8,4.9,4.9,4.9,,6.5,1.5,0.0,2.4,13.7,7.0,4.9,5.2,4.3,,,4.8,,,4.9,4.3,7.3,5.8,5.2,1.8,4.3,5.6,5.9
1982  ,2.8,2.0,2.5,-0.4,-1.4,4.1,3.9,2.6,2.8,3.1,7.9,0.0,2.9,1.5,3.9,3.9,4.5,,5.8,0.4,0.5,3.4,8.5,0.0,3.8,3.3,3.5,,,3.9,,,3.8,2.8,9.8,5.7,2.6,-0.1,2.7,2.0,3.5
1983  ,1.9,1.4,1.1,2.0,2.0,1.9,1.9,1.2,1.9,2.3,-5.8,2.3,0.6,1.5,2.8,2.8,1.9,,6.7,2.4,-1.0,0.6,5.4,0.0,3.1,2.7,3.1,,,3.3,,,3.4,1.7,3.3,4.8,3.0,-0.6,2.2,1.3,2.5
1984  ,2.3,1.8,1.7,2.9,2.8,3.6,3.6,1.7,2.7,2.7,-4.9,2.1,1.2,0.7,2.9,3.0,3.6,,7.4,1.9,0.9,2.1,4.7,11.6,2.6,3.0,2.1,,,2.0,,,2.8,1.3,5.6,4.2,2.6,0.0,2.2,1.9,3.1
