類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
Group/Item,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent & fresh food","All items, less fresh food and energy","All items, less food (less alcoholic beverages) and energy",Food,Fresh food,"Food, less fresh food",Cereals,Fish & seafood,Fresh fish & seafood (reentry),Meats,Dairy products & eggs,Vegetables & seaweeds,Fresh vegetables (reentry),Fruits,Fresh fruits (reentry),"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture & recreation,Expenses for information & communication
類・品目符号(Group/Item code),0001,0161,0163,0166,0178,0168,0002,0157,0172,0003,0008,0158,0013,0016,0021,0159,0027,0160,0030,0033,0034,0037,0041,0042,0045,0164,0046,0165,0051,0054,0056,0057,0058,0059,0060,0061,0066,0070,0073,0077,0081,0082,0083,0084,0085,0089,0090,0094,0098,0103,0106,0107,0108,0109,0110,0111,0112,0113,0117,0118,0119,0120,0121,0122,0123,0128,0134,0138,0145,0146,0147,0151,0155,0156,0167,0162,0173,0169
含類総連番(Serial number),001,740,742,745,747,748,002,736,741,003,021,737,055,067,079,738,128,739,148,172,191,226,249,258,286,743,287,744,295,315,316,318,321,323,326,327,344,349,355,370,385,393,394,395,397,427,428,444,455,462,468,473,474,488,501,506,507,526,554,561,562,572,575,580,581,592,627,637,675,676,683,712,724,727,746,749,750,751
ウエイト(Weight),3543757090,3409504328,2964685470,2830432708,3144158123,2341950403,975803165,134252762,841550403,89417743,63331028,34438066,85873687,46467605,97870815,65627165,37528886,34187531,42480425,94788055,138511440,60169161,39342683,180021637,773321148,194249528,659437087,80365467,113884061,247346867,133318023,49084785,13761542,51182517,131897186,44403921,5998863,8214562,24963736,38822448,9493656,105807048,42767080,1089323,41677757,32904173,22334968,10569205,15793408,8627972,5714415,165090296,41625151,30404943,93060202,511544532,62835244,328857072,119852216,110104238,79573626,2099663,28430949,320898162,25613499,70186803,30205061,194892799,201944448,39164099,55642785,20480111,13470674,73186779,265346205,131247113,350010046,151648778
ウエイト１万分比(Weight per 10000),10000,9621,8366,7987,8872,6609,2754,379,2375,252,179,97,242,131,276,185,106,96,120,267,391,170,111,508,2182,548,1861,227,321,698,376,139,39,144,372,125,17,23,70,110,27,299,121,3,118,93,63,30,45,24,16,466,117,86,263,1444,177,928,338,311,225,6,80,906,72,198,85,550,570,111,157,58,38,207,749,370,988,428
197001,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197002,0.5,0.0,0.5,0.0,0.3,0.4,0.7,2.9,0.2,0.3,-1.9,-3.1,0.0,-0.4,3.8,7.4,4.3,4.4,0.2,0.7,3.5,0.0,0.0,0.2,0.5,0.6,0.5,0.5,0.6,0.1,0.0,0.2,0.9,,0.2,0.3,0.3,-0.3,0.1,0.3,0.9,-0.9,-2.5,-0.4,-3.3,-0.1,-0.7,0.4,0.5,0.2,0.6,6.5,0.0,0.2,9.7,0.3,0.5,0.0,0.0,0.0,0.0,0.0,,0.4,-0.1,1.6,0.5,0.1,0.4,1.1,0.2,0.5,0.0,0.0,0.2,,,
197003,0.8,0.3,0.8,0.2,0.3,0.3,1.5,6.8,-0.1,0.1,2.0,2.8,-0.5,-2.1,5.0,8.6,8.6,8.8,0.1,0.6,4.7,0.2,0.0,0.6,0.7,0.6,0.6,0.5,0.7,0.2,0.0,0.2,0.2,,0.5,0.8,0.5,0.0,0.5,0.2,0.1,0.5,0.3,0.1,0.4,0.1,-0.2,0.4,1.0,0.2,0.6,0.1,0.2,0.6,0.0,0.4,0.8,0.3,0.0,0.0,0.0,0.0,,0.1,-0.1,0.5,-0.4,0.2,0.5,1.2,0.5,0.9,0.0,0.0,0.1,,,
197004,0.9,0.9,0.9,1.0,0.8,1.1,0.7,2.2,0.3,0.1,-1.6,-3.3,0.6,-2.8,4.6,7.6,1.6,1.6,0.5,0.5,8.9,0.2,0.0,1.0,0.9,1.0,0.9,0.8,1.4,0.2,0.0,0.0,0.4,,0.7,1.3,0.5,0.2,0.7,0.1,1.0,1.9,3.1,-0.4,4.4,0.5,0.3,0.6,1.0,0.9,1.3,0.1,0.1,0.5,0.0,0.3,0.4,0.4,0.0,3.6,4.6,0.0,,1.4,-0.1,-0.4,0.4,3.5,0.5,1.2,0.5,0.9,0.0,0.3,0.3,,,
197005,-0.4,0.2,-0.4,0.1,0.3,0.4,-1.7,-7.2,0.2,0.2,-1.9,-3.5,0.3,-4.9,-4.6,-6.8,-10.7,-11.2,0.9,0.4,3.4,0.5,0.0,0.9,0.9,0.9,0.8,0.9,0.8,-0.2,0.0,-0.7,0.1,,0.3,0.0,1.8,-0.3,0.6,0.2,0.1,1.6,3.0,-1.1,4.6,0.5,-0.3,1.3,0.7,0.4,1.1,0.0,0.0,0.5,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.0,,0.0,-0.1,-0.1,-0.2,0.1,0.6,1.5,0.7,0.4,0.0,0.0,-0.2,,,
197006,0.0,0.3,-0.2,0.2,0.3,0.4,-0.6,-3.1,-0.2,0.3,-0.9,-1.6,-0.1,-1.1,-12.9,-19.4,16.6,17.2,0.9,0.7,-0.6,0.5,0.1,0.6,0.8,0.8,0.9,0.8,0.8,0.0,0.0,0.0,-0.1,,0.1,-0.2,0.1,0.6,0.3,0.1,0.8,0.3,0.5,1.8,0.1,-0.1,-0.8,0.4,0.2,0.5,0.5,0.1,0.1,0.6,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,,0.0,-0.1,-0.6,0.8,0.0,0.3,0.7,0.3,0.2,0.0,0.0,0.0,,,
197007,-0.1,0.3,-0.1,0.4,0.3,0.2,-0.5,-4.1,0.5,0.4,3.3,5.6,0.7,0.6,-6.3,-10.3,-6.3,-6.6,0.8,0.4,1.2,0.4,0.0,0.7,0.2,-0.7,0.7,0.5,-2.2,0.0,0.0,0.0,-0.1,,0.0,-0.5,0.1,0.9,0.8,0.2,0.1,1.7,3.6,2.0,4.2,0.1,-0.2,0.4,0.4,0.2,0.3,0.8,0.1,1.4,1.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,,-0.2,-0.2,-0.4,-0.9,0.1,0.3,1.1,0.3,0.2,0.0,0.0,0.0,,,
197008,-0.2,0.2,-0.3,0.1,0.2,0.1,-0.8,-5.4,0.7,0.5,2.6,4.1,0.2,-0.5,-0.3,-1.4,-18.1,-18.7,0.9,0.5,1.1,0.3,0.1,0.4,0.7,0.7,0.8,1.0,0.4,0.1,0.0,0.0,0.2,,0.3,0.2,0.0,0.8,0.4,0.2,0.1,-2.7,-6.9,0.9,-9.6,0.9,1.7,0.3,0.3,0.5,0.5,-0.4,0.1,1.3,-0.7,0.1,0.2,0.1,0.0,0.0,0.0,0.0,,0.4,0.6,1.0,0.7,0.1,0.2,0.5,0.3,0.4,0.0,0.0,0.1,,,
197009,1.6,1.0,1.7,1.0,1.0,1.1,2.7,9.9,0.6,0.9,1.4,2.1,0.1,3.2,8.5,13.5,14.8,15.5,1.8,0.7,-0.1,0.7,0.6,0.4,0.7,0.9,0.6,0.6,1.2,0.4,0.0,0.3,1.9,,2.0,3.3,0.9,1.6,0.8,0.3,1.0,5.0,8.6,6.0,9.5,4.5,7.6,1.8,0.9,1.3,1.4,0.1,0.5,1.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,,0.5,-0.6,-0.2,-0.3,1.5,0.3,0.6,0.1,0.7,0.0,0.0,0.4,,,
197010,1.6,1.1,1.7,1.1,1.1,0.9,2.9,7.4,1.8,0.4,0.2,-0.2,0.3,6.7,16.2,25.4,-2.7,-2.8,1.3,1.2,-1.0,0.4,4.5,1.6,0.7,1.0,0.5,0.8,1.4,0.7,0.0,0.2,3.8,,-0.1,-1.3,0.7,0.7,1.1,0.7,0.8,1.9,3.1,1.7,3.6,1.5,0.3,2.5,0.7,1.1,1.1,0.2,0.5,1.2,0.0,1.6,3.5,0.5,0.1,0.0,0.0,0.0,,0.3,0.3,1.9,-0.2,0.1,0.5,1.6,0.2,0.3,0.0,0.0,0.9,,,
197011,0.1,0.5,0.1,0.6,0.6,0.5,-0.5,-5.4,0.9,0.3,2.9,4.1,0.3,0.3,-6.6,-10.9,-8.4,-8.8,0.5,1.2,1.6,0.2,1.6,1.4,0.4,0.5,0.4,0.4,0.6,0.7,0.0,0.4,3.0,,0.3,-0.1,0.7,-0.1,0.8,1.5,0.2,0.7,0.7,-0.2,0.9,0.7,0.7,0.8,0.6,0.7,1.2,0.3,0.7,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,1.2,0.6,0.6,4.9,0.0,0.4,1.5,0.1,0.2,0.0,0.0,0.7,,,
197012,0.7,0.9,0.6,0.9,0.8,0.6,0.8,0.2,0.9,0.1,3.8,5.2,0.3,2.9,-0.7,-2.7,-2.7,-2.8,0.5,0.8,0.3,0.8,0.0,1.5,0.8,0.9,0.6,0.7,1.1,0.4,0.0,0.3,1.8,,0.3,-0.5,1.7,0.1,0.6,0.8,1.8,0.6,0.4,-0.2,0.6,0.6,0.9,0.3,0.7,1.1,0.6,0.1,0.2,1.3,0.0,0.3,0.3,0.6,0.0,0.0,0.0,0.0,,0.7,-0.6,2.1,1.9,0.1,0.5,1.6,0.2,0.4,0.0,0.0,0.4,,,
197101,0.8,0.3,0.9,0.3,0.3,0.3,1.6,6.3,0.3,0.3,3.8,4.7,0.0,-3.6,7.4,11.3,1.9,2.1,0.2,0.5,0.5,-0.1,0.1,1.4,0.6,0.6,0.7,0.6,0.5,0.4,0.0,0.2,1.4,,0.4,-0.1,1.4,0.4,1.1,0.5,0.8,-0.2,-1.9,0.4,-2.7,1.5,0.6,2.3,1.1,0.7,1.0,0.1,0.4,0.1,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,,0.2,-0.2,1.2,-0.8,0.6,0.7,1.8,0.0,1.4,0.0,0.3,0.3,,,
197102,0.1,0.0,0.0,-0.1,0.1,0.1,0.1,-0.4,0.5,0.1,-1.5,-2.7,-0.7,-1.1,0.4,-0.3,2.3,2.5,0.2,0.6,1.4,0.2,0.0,1.0,0.6,0.5,0.6,0.6,0.5,0.3,0.0,0.1,1.1,,0.2,-0.1,0.9,0.0,0.3,0.4,0.2,-2.0,-4.6,-1.5,-5.8,-0.6,-1.2,0.1,0.4,0.3,0.7,0.0,0.1,0.0,0.0,0.3,0.2,0.4,0.0,3.3,0.0,16.0,,0.1,-0.7,0.8,0.4,0.1,0.6,0.6,1.8,0.4,0.0,0.0,0.3,,,
197103,0.1,0.5,0.1,0.5,0.3,0.3,-0.3,-2.3,0.3,0.0,0.7,1.0,-0.1,0.4,-5.6,-9.3,3.6,3.7,0.0,0.7,0.6,0.1,0.0,0.4,0.6,0.5,0.7,0.5,0.5,0.2,0.0,0.3,0.8,,0.6,1.0,0.5,0.3,0.6,0.3,0.1,0.5,0.7,-1.3,1.4,-0.4,-0.6,-0.2,0.7,0.8,0.7,0.1,0.2,0.1,0.0,0.2,-0.1,0.6,0.0,0.0,0.0,0.0,,0.1,-0.3,0.6,-0.2,0.1,0.2,0.5,0.0,0.2,0.0,0.0,0.5,,,
197104,1.4,1.1,1.4,1.2,1.3,1.9,0.7,2.7,-0.1,0.1,-0.4,-1.0,0.4,-2.3,2.5,3.7,5.9,6.2,0.4,0.6,0.2,0.2,0.0,1.0,1.2,1.4,1.1,1.1,1.7,0.3,-0.2,0.3,1.3,,0.8,0.9,0.6,0.8,0.6,0.2,3.2,1.8,3.0,0.7,4.0,1.1,2.1,0.2,0.9,0.9,1.8,0.0,0.1,0.1,0.0,0.7,0.0,1.8,0.2,5.4,7.0,0.0,,5.3,-0.2,-0.3,10.5,8.1,0.3,1.2,0.0,0.5,0.0,0.4,1.2,,,
197105,0.2,0.9,0.1,0.7,0.8,0.8,-0.8,-5.7,0.7,0.1,1.4,2.0,1.0,2.9,-6.0,-10.4,-9.9,-10.3,0.2,0.6,-0.2,-0.1,0.0,0.4,2.0,1.0,2.2,1.1,0.9,0.4,0.0,0.7,0.7,,0.0,-0.6,-0.4,1.0,0.6,0.2,0.5,2.6,5.2,3.5,5.8,0.5,1.1,-0.1,0.5,0.6,1.0,0.1,0.1,0.1,0.0,0.5,0.0,0.1,2.2,0.0,0.0,0.0,,-0.1,-0.4,-0.8,1.0,-0.1,0.2,0.5,0.0,0.2,0.0,0.0,0.3,,,
197106,0.5,0.7,0.4,0.7,0.7,0.7,0.1,-0.9,0.6,0.1,-0.2,-0.3,0.3,0.2,-2.9,-5.6,4.2,4.4,0.1,0.9,0.6,0.2,0.0,0.5,1.2,0.7,1.2,0.8,0.6,0.1,0.0,0.6,0.0,,0.1,-0.2,0.0,0.2,0.7,0.4,0.0,2.8,6.3,8.3,5.7,-0.1,-0.3,0.1,0.6,0.2,0.5,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,,-0.3,-0.6,-1.9,0.7,0.1,0.4,1.3,0.0,0.1,0.0,0.0,0.2,,,
197107,-0.1,0.0,-0.2,0.0,0.2,0.1,-0.5,-3.5,0.0,0.1,2.4,3.9,1.0,-1.0,-14.0,-25.2,10.1,10.6,0.4,0.7,1.0,0.1,0.0,0.6,0.3,0.4,0.4,0.5,0.4,0.2,0.0,0.4,0.3,,0.0,-0.9,0.1,0.1,0.4,1.6,0.0,-0.5,-1.5,1.6,-2.7,0.4,-0.3,1.0,0.4,0.3,0.4,0.0,0.1,0.2,0.0,0.4,0.1,0.3,1.2,0.0,0.0,0.0,,-0.1,-0.2,0.1,-0.4,0.0,0.2,0.8,0.0,0.2,0.0,0.0,0.2,,,
197108,-0.2,0.0,-0.1,0.1,-0.2,-0.6,0.4,-0.6,0.8,0.0,2.2,3.2,1.5,2.8,7.8,15.3,-16.8,-17.4,0.3,0.6,1.1,0.2,0.0,0.4,-0.5,0.2,-0.6,0.1,0.3,0.1,0.0,0.1,0.3,,-0.1,-0.7,0.2,0.0,0.3,0.1,0.5,-3.3,-5.9,0.6,-8.2,-3.9,-8.1,-0.2,0.2,0.0,0.4,0.0,-0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,,0.2,0.1,0.2,0.6,0.0,0.3,1.0,0.0,0.1,0.0,0.0,0.0,,,
