類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),742
ウエイト(Weight),2964685470
ウエイト１万分比(Weight per 10000),8366
194601,
194602,
194603,
194604,
194605,
194606,
194607,
194608,
194609,-9.2
194610,-6.0
194611,-1.6
194612,14.7
194701,12.8
194702,11.0
194703,10.8
194704,4.4
194705,17.9
194706,16.7
194707,18.8
194708,5.9
194709,6.4
194710,-3.9
194711,-0.1
194712,9.6
194801,0.1
194802,7.6
194803,6.8
194804,2.2
194805,3.9
194806,1.8
194807,10.2
194808,11.5
194809,-0.5
194810,-3.3
194811,4.1
194812,5.7
194901,4.2
194902,2.0
194903,3.2
194904,1.1
194905,1.1
194906,-3.5
194907,2.1
194908,0.1
194909,-0.4
194910,-2.4
194911,-3.9
194912,2.0
195001,1.1
195002,-4.2
195003,-1.6
195004,-2.7
195005,1.7
195006,-2.1
195007,2.7
195008,2.2
195009,0.5
195010,-2.8
195011,0.6
195012,4.2
195101,4.3
195102,3.7
195103,2.8
195104,0.7
195105,-0.6
195106,-0.9
195107,-0.1
195108,4.5
195109,1.1
195110,1.0
195111,0.2
195112,-0.1
195201,0.5
195202,-0.5
195203,0.3
195204,0.2
195205,-0.9
195206,0.3
195207,1.2
195208,0.3
195209,-0.2
195210,0.2
195211,-0.9
195212,-0.3
195301,2.4
195302,1.5
195303,0.1
195304,0.6
195305,-0.5
195306,1.2
195307,2.0
195308,1.1
195309,0.2
195310,2.9
195311,-0.9
195312,0.1
195401,1.5
195402,0.7
195403,0.3
195404,0.3
195405,-0.7
195406,0.6
195407,0.5
195408,0.1
195409,-0.3
195410,0.9
195411,-2.1
195412,-0.6
195501,0.9
195502,0.0
195503,-0.7
195504,0.9
195505,-1.0
195506,0.1
195507,-0.4
195508,0.6
195509,0.5
195510,0.6
195511,-2.4
195512,-0.4
195601,0.5
195602,0.9
195603,0.2
195604,0.2
195605,-0.4
195606,2.1
195607,-2.1
195608,0.6
195609,0.8
195610,0.5
195611,-1.7
195612,1.1
195701,1.1
195702,-0.2
195703,0.3
195704,0.6
195705,0.9
195706,-0.3
195707,1.2
195708,0.7
195709,-0.5
195710,-0.3
195711,-1.4
195712,-0.2
195801,0.2
195802,-0.8
195803,-0.4
195804,0.4
195805,-0.1
195806,1.2
195807,-0.5
195808,1.1
195809,-0.5
195810,0.8
195811,-1.0
195812,-0.2
195901,0.2
195902,-0.5
195903,0.3
195904,0.6
195905,-0.8
195906,0.8
195907,0.1
195908,1.5
195909,0.7
195910,1.4
195911,-0.6
195912,0.0
196001,0.9
196002,0.1
196003,-0.3
196004,0.6
196005,0.9
196006,-0.4
196007,-0.1
196008,0.8
196009,0.8
196010,0.5
196011,-1.4
196012,0.8
196101,1.4
196102,0.5
196103,-0.2
196104,1.0
196105,-0.5
196106,0.0
196107,1.6
196108,0.8
196109,0.6
196110,2.2
196111,0.5
196112,0.9
196201,0.6
196202,-0.4
