類・品目,総合（季節調整済）,生鮮食品を除く総合（季節調整済）,生鮮食品及びエネルギーを除く総合（季節調整済）,財（季節調整済）,サービス（季節調整済）
Group/Item,"All items, seasonally adjusted","All items, less fresh food, seasonally adjusted","All items, less fresh food and energy, seasonally adjusted","Goods, seasonally adjusted","Services, seasonally adjusted"
類・品目符号(Group/Item code),0901,0902,0906,0921,0924
含類総連番(Serial number),901,902,903,904,905
ウエイト(Weight),,,,,
ウエイト１万分比(Weight per 10000),,,,,
201001,,,,,
201002,-0.1,-0.1,-0.2,-0.1,0.1
201003,0.0,-0.2,-0.1,0.0,0.0
201004,-0.1,-0.4,-0.4,0.4,-0.7
201005,0.0,-0.1,-0.2,0.1,0.0
201006,0.1,0.1,0.0,0.0,0.1
201007,-0.4,-0.3,-0.3,-0.7,-0.1
201008,0.0,-0.1,-0.1,-0.1,0.1
201009,0.0,-0.1,-0.1,0.1,0.1
201010,0.2,0.3,0.2,0.2,0.2
201011,0.1,0.0,0.0,0.1,0.0
201012,-0.2,0.0,0.0,-0.4,0.1
201101,-0.1,0.0,-0.1,-0.3,0.0
201102,0.0,-0.1,-0.1,0.0,0.0
201103,0.0,0.0,-0.1,0.1,0.0
201104,0.0,0.1,0.0,-0.1,-0.1
201105,0.0,0.0,0.0,0.0,0.1
201106,0.1,0.0,-0.1,0.1,0.0
201107,0.1,0.0,0.0,0.2,0.1
201108,0.0,0.0,0.0,-0.1,0.0
201109,-0.1,-0.1,0.0,-0.4,0.2
201110,0.0,-0.1,-0.2,0.2,-0.2
201111,-0.2,0.0,-0.1,-0.3,-0.2
201112,0.1,0.1,0.0,0.1,0.1
201201,0.2,0.1,0.1,0.4,0.1
201202,0.2,0.1,0.1,0.6,-0.1
201203,0.2,0.1,0.0,0.4,0.0
201204,-0.1,0.0,-0.1,-0.3,0.0
201205,-0.3,-0.3,-0.1,-0.5,0.0
201206,-0.3,-0.1,0.0,-0.6,0.0
201207,-0.2,-0.1,-0.1,-0.3,0.0
