,headline_index,headline_yoy,ex_fresh_food_index,ex_fresh_food_yoy,ex_fresh_food_energy_index,ex_fresh_food_energy_yoy,ex_food_energy_index,ex_food_energy_yoy
2000-02,101.400944277472,,102.5667808738257,,106.1755192854391,,107.480546177772,
2000-03,101.400944277472,,102.4672014749191,,106.1755192854391,,107.434782667665,
2000-04,101.3024010857543,,102.4672014749191,,105.9711390750725,,107.29633386943,
2000-05,101.105314702319,,102.4672014749191,,106.0733291802558,,107.345710642222,
2000-06,101.105314702319,,102.3676220760124,,105.7667588647059,,107.157679418371,
2000-07,101.105314702319,,102.2680426771058,,105.6645687595227,,107.174257013307,
2000-08,101.0067715106013,,102.1684632781992,,105.5623786543394,,107.294616089169,
2000-09,100.9082283188837,,102.0688838792925,,105.4601885491561,,106.801185858376,
2000-10,100.809685127166,,101.8697250814793,,105.3579984439728,,106.629363948202,
2000-11,100.9082283188837,,101.9693044803859,,105.3579984439728,,106.557261574982,
2000-12,100.9082283188837,,101.9693044803859,,105.2558083387895,,106.566598111504,
2001-01,101.0067715106013,,101.8697250814793,,105.2558083387895,,106.629001464641,
2001-02,100.9082283188837,-0.4859086491739495,101.670566283666,-0.8737864077670521,105.1536182336062,-0.9624639076034613,106.606256516314,-0.8134399131280223
2001-03,100.6125987437307,-0.7774538386783436,101.5709868847594,-0.8746355685131602,105.0514281284229,-1.0587102983638075,106.420063635244,-0.9444976824311113
2001-04,100.514055552013,-0.7782101167315258,101.670566283666,-0.7774538386783991,105.0514281284229,-0.8678881388620829,106.315207001303,-0.9144085662059487
2001-05,100.4155123602954,-0.6822612085769952,101.4714074858528,-0.9718172983479434,104.9492380232396,-1.0597302504816941,106.273853410651,-0.998509605235598
2001-06,100.2184259768601,-0.8771929824561098,101.4714074858528,-0.8754863813229208,104.8470479180563,-0.8695652173912882,106.298833186877,-0.8014789384723775
2001-07,100.2184259768601,-0.8771929824561098,101.3718280869461,-0.8763388510224512,104.744857812873,-0.8704061895552062,106.330068040809,-0.7876788661974943
2001-08,100.2184259768601,-0.7804878048779607,101.2722486880395,-0.8771929824561986,104.6426677076897,-0.8712487899323107,106.233209921187,-0.9892445741172096
2001-09,100.0213395934248,-0.8789062499999667,101.2722486880395,-0.7804878048780384,104.6426677076897,-0.7751937984496915,106.036535655366,-0.715956659904482
2001-10,99.92279640170709,-0.8797653958944052,101.1726692891329,-0.6842619745845657,104.6426677076897,-0.6789524733269325,105.908231301729,-0.6762983663893052
2001-11,99.82425320998944,-1.074218750000011,101.0730898902263,-0.8789062499999556,104.4382874973232,-0.8729388942773864,105.913550518134,-0.6040987233845385
2001-12,99.62716682655412,-1.269531250000011,100.873931092413,-1.07421875,104.4382874973232,-0.7766990291261933,105.848919583727,-0.6734554170773843
2002-01,99.62716682655412,-1.365853658536531,100.9735104913196,-0.8797653958944829,104.4382874973232,-0.7766990291261933,105.711625516687,-0.8603437482796017
2002-02,99.33153725140114,-1.5625,100.873931092413,-0.7835455435847072,104.3360973921399,-0.7774538386782992,105.574962577247,-0.9673859422211106
2002-03,99.43008044311881,-1.1753183153770497,100.7743516935064,-0.7843137254901822,104.3360973921399,-0.6809338521400421,105.534469870134,-0.8321680469440262
2002-04,99.43008044311881,-1.0784313725489603,100.6747722945997,-0.9794319294809339,104.2339072869566,-0.7782101167314925,105.584197575532,-0.6875868903326587
2002-05,99.52862363483645,-0.8832188420019649,100.5751928956931,-0.8832188420020093,104.02952707659,-0.8763388510223846,105.44944566025,-0.7757390213521398
2002-06,99.52862363483645,-0.6882989183874533,100.5751928956931,-0.8832188420020093,104.02952707659,-0.779727095516547,105.473177949625,-0.7767302918560537
2002-07,99.4300804431188,-0.7866273352999276,100.4756134967865,-0.8840864440078144,103.8251468662234,-0.8780487804877724,105.307646176455,-0.9615547917843914
2002-08,99.33153725140114,-0.884955752212413,100.3760340978799,-0.8849557522123463,103.9273369714067,-0.6835937499999556,105.36534871936,-0.8169396391870754
2002-09,99.33153725140114,-0.6896551724138278,100.2764546989732,-0.9832841691249095,103.8251468662234,-0.7812499999999667,105.294745764559,-0.6995606620136319
2002-10,99.03590767624816,-0.8875739644970349,100.1768753000666,-0.9842519685039686,103.7229567610402,-0.878906249999889,105.01380474992,-0.8445297790507067
2002-11,99.4300804431188,-0.39486673247778326,100.2764546989732,-0.7881773399015635,103.7229567610402,-0.6849315068492845,105.18445571366,-0.6883867086951878
2002-12,99.33153725140114,-0.2967359050444984,100.2764546989732,-0.5923000987167248,103.8251468662234,-0.5870841487280343,105.187879861431,-0.6245124890227216
2003-01,99.23299405968349,-0.39564787339266827,100.1768753000666,-0.7889546351084742,103.6207666558569,-0.7827788649706235,105.116713103846,-0.5627691466603024
2003-02,99.1344508679658,-0.19841269841273101,100.1768753000666,-0.6910167818361512,103.7229567610402,-0.5876591576885026,105.06240590617,-0.48549074379447
2003-03,99.23299405968348,-0.1982160555005108,100.1768753000666,-0.5928853754941121,103.6207666558569,-0.6856023506366049,105.097042739967,-0.4144874472817195
2003-04,99.33153725140113,-0.09910802775027205,100.2764546989732,-0.3956478733926794,103.8251468662234,-0.39215686274511885,105.101010063809,-0.4576324135790677
2003-05,99.33153725140113,-0.1980198019801982,100.2764546989732,-0.2970297029703306,103.7229567610402,-0.29469548133589374,105.206423950308,-0.2304627667033987
2003-06,99.13445086796578,-0.3960396039604297,100.1768753000666,-0.3960396039603964,103.8251468662234,-0.19646365422397727,105.03280865796,-0.41751779952560186
2003-07,99.23299405968346,-0.1982160555005108,100.2764546989732,-0.1982160555005441,103.9273369714067,0.09842519685039353,105.161724211866,-0.1385673024582479
2003-08,99.03590767624814,-0.29761904761906877,100.2764546989732,-0.09920634920641547,103.8251468662234,-0.0983284169124965,105.15156485415,-0.2028976962620055
2003-09,99.13445086796581,-0.1984126984127088,100.1768753000666,-0.09930486593839882,103.7229567610402,-0.09842519685031581,105.04239356721,-0.23966266836643602
2003-10,98.93736448453052,-0.09950248756216418,100.1768753000666,0.0,103.6207666558569,-0.09852216748769127,105.030130412388,0.015546206050598421
2003-11,98.93736448453052,-0.49554013875121594,100.1768753000666,-0.09930486593839882,103.6207666558569,-0.09852216748769127,104.86605606784,-0.3027059879330052
2003-12,98.93736448453052,-0.3968253968253843,100.2764546989732,0.0,103.5185765506736,-0.29527559055111396,104.777556957717,-0.39008572494715343
2004-01,98.93736448453052,-0.2979145978152853,100.07729590116,-0.09940357852880055,103.2120062351237,-0.39447731755427595,104.667245620255,-0.42758898211263663
2004-02,99.2329940596835,0.09940357852886716,100.1768753000666,0.0,103.314196340307,-0.3940886699507651,104.762070299611,-0.2858640100315557
2004-03,99.13445086796581,-0.09930486593844323,100.07729590116,-0.09940357852880055,103.2120062351237,-0.39447731755427595,104.717874470122,-0.3607791998326171
2004-04,98.93736448453052,-0.3968253968253732,100.07729590116,-0.19860973187680875,103.1098161299405,-0.6889763779526326,104.558688505241,-0.5160003298148585
2004-05,98.83882129281285,-0.49603174603172207,99.97771650225333,-0.2979145978152853,103.0076260247572,-0.6896551724137501,104.492858350076,-0.6782528798517373
2004-06,99.13445086796585,6.661338147750939e-14,100.0772959011599,-0.09940357852890047,103.0076260247572,-0.7874015748030372,104.57192779566,-0.43879704655034324
2004-07,99.03590767624819,-0.19860973187681985,100.0772959011599,-0.19860973187690867,103.0076260247572,-0.8849557522122797,104.57053639754,-0.5621701419947778
2004-08,98.83882129281287,-0.19900497512433946,100.0772959011599,-0.19860973187690867,103.0076260247572,-0.7874015748030372,104.506913018753,-0.6130691790380505
2004-09,99.03590767624819,-0.09940357852878945,100.0772959011599,-0.09940357852890047,102.9054359195739,-0.7881773399014413,104.51532966504,-0.5017630351623392
2004-10,99.43008044311883,0.4980079681274896,100.0772959011599,-0.09940357852890047,103.0076260247571,-0.5917159763314084,104.678490256934,-0.3347993133716365
2004-11,99.72571001827181,0.7968127490040056,99.97771650225332,-0.19880715705767882,102.8032458143906,-0.7889546351084409,104.525731931424,-0.32453221678885313
2004-12,99.13445086796584,0.19920318725099584,100.0772959011599,-0.19860973187690867,102.7010557092073,-0.7897334649555554,104.280665353102,-0.4742347684395076
2005-01,98.83882129281287,-0.09960159362548682,99.77855770444005,-0.29850746268663686,102.598865604024,-0.5940594059405502,104.492823709443,-0.1666442159420356
2005-02,98.93697305179282,-0.29830905607125535,99.77855770444005,-0.39761431411534653,102.3998377367029,-0.8850270688766648,104.365537787566,-0.37850770885965446
2005-03,98.93697305179282,-0.19920200741920802,99.77855770444005,-0.29850746268663686,102.3003238030423,-0.8833104454965435,104.350619588285,-0.3507088772526479
2005-04,98.7406695338329,-0.19880755033491182,99.8775443688294,-0.19959725183609223,102.3003238030423,-0.7850778493078248,104.31272328523,-0.2352413018251065
2005-05,98.64251777485295,-0.19860973187686426,99.77855770444006,-0.19920318725100694,102.3003238030423,-0.6866503471742003,104.237452223405,-0.24442448096819724
2005-06,98.34806249791309,-0.793254376422714,99.5805843756614,-0.4963278843875485,102.2008098693818,-0.7832586639570649,104.11801688527,-0.43406573825145456
2005-07,98.44621425689306,-0.5954339523830621,99.48159771127209,-0.5952380952380487,102.2008098693818,-0.7832586639570649,104.072554971784,-0.47621580888028703
2005-08,98.15175897995321,-0.6951340615689916,99.48159771127209,-0.5952380952380487,102.1012959357212,-0.8798669807400183,103.96045436452,-0.5228923508006966
2005-09,98.34806249791312,-0.6945411966977288,99.5805843756614,-0.4963278843875485,102.2008098693818,-0.6847316119848235,104.034421004484,-0.46013217591835964
2005-10,98.34806249791312,-1.08821992337087,99.67957104005073,-0.39741767353703716,102.1012959357213,-0.8798669807398296,103.94921840338,-0.6966778482991098
2005-11,98.44621425689309,-1.2830149428309845,99.58058437566139,-0.3972206412445667,101.8027541347396,-0.9732102053055525,103.83065001397,-0.6649864149337215
2005-12,98.54436601587305,-0.5952369200881602,99.67957104005072,-0.39741767353704827,101.9022680684002,-0.7777793862887017,103.865301924716,-0.39831298254527914
2006-01,98.74066953383294,-0.09930486593839882,99.67957104005072,-0.09920634920634885,101.8027541347396,-0.7759456838021594,103.782421886353,-0.6798570445998964
2006-02,98.83882129281291,-0.09920634920630444,99.77855770444005,0.0,101.8027541347396,-0.583090379008766,103.85305610483,-0.4910449307310105
2006-03,98.74066953383294,-0.1984126984126644,99.77855770444005,0.0,101.8027541347396,-0.4863813229571634,103.872766659227,-0.45793013107480185
2006-04,98.64251777485299,-0.09940357852877835,99.77855770444005,-0.09910802775028316,101.7032402010791,-0.5836575875485583,103.855040038454,-0.4387607114086367
2006-05,98.74066953383294,0.09950248756223079,99.77855770444005,-1.1102230246251565e-14,101.8027541347396,-0.4863813229571634,103.828922871209,-0.3919218510065159
2006-06,98.83882129281291,0.4990019960080305,99.77855770444005,0.1988071570576455,101.8027541347396,-0.3894839337877376,103.839008557717,-0.26797314806759065
2006-07,98.74066953383294,0.29910269192425787,99.67957104005072,0.19900497512435056,101.9022680684002,-0.29211295034075047,103.752149129984,-0.3078677581105471
2006-08,98.93697305179285,0.8000000000000007,99.77855770444005,0.29850746268655914,101.7032402010791,-0.38986354775819576,103.825333484011,-0.12997334547540929
2006-09,98.93697305179285,0.5988023952095967,99.77855770444005,0.1988071570576455,101.7032402010791,-0.4868549172346359,103.786841747415,-0.2379782140166209
2006-10,98.74066953383293,0.39920159680637557,99.77855770444005,0.09930486593840993,101.7032402010791,-0.3898635477582957,103.730150672105,-0.21074495281426797
2006-11,98.74066953383293,0.29910269192421346,99.77855770444005,0.19880715705766772,101.6037262674186,-0.19550342130978393,103.743779133486,-0.08366593146851287
2006-12,98.8388212928129,0.29880478087647155,99.77855770444005,0.09930486593843213,101.6037262674186,-0.2929687499999667,103.788736398075,-0.07371617395045549
2007-01,98.8388212928129,0.09940357852882276,99.77855770444005,0.09930486593843213,101.504212333758,-0.2932551319647647,103.648405233422,-0.1291323236585873
2007-02,98.642517774853,-0.19860973187686426,99.67957104005072,-0.09920634920634885,101.504212333758,-0.2932551319647647,103.462161448737,-0.3763920588898406
2007-03,98.642517774853,-0.09940357852881165,99.48159771127207,-0.29761904761904656,101.3051844664369,-0.48875855327464857,103.443534368737,-0.413228899445961
2007-04,98.642517774853,2.220446049250313e-14,99.58058437566139,-0.1984126984127088,101.504212333758,-0.1956947162426559,103.603147807448,-0.24254213460679352
2007-05,98.8388212928129,0.09940357852882276,99.67957104005072,-0.09920634920634885,101.504212333758,-0.2932551319647647,103.718129767075,-0.10670736156189742
2007-06,98.642517774853,-0.19860973187686426,99.67957104005072,-0.09920634920634885,101.4046984000975,-0.3910068426196567,103.518398176,-0.30875716762913674
2007-07,98.74066953383296,2.220446049250313e-14,99.58058437566137,-0.09930486593845433,101.3051844664369,-0.5859375000000222,103.515835942262,-0.22776702912047364
2007-08,98.74066953383296,-0.1984126984126866,99.6795710400507,-0.09920634920637106,101.6037262674185,-0.09784735812138345,103.640049336132,-0.1784575514101605
2007-09,98.74066953383296,-0.1984126984126866,99.6795710400507,-0.09920634920637106,101.4046984000975,-0.2935420743639505,103.452251706107,-0.32238194714728774
2007-10,99.03512481077281,0.2982107355865127,99.87754436882936,0.09920634920634885,101.4046984000975,-0.2935420743639505,103.54942889254,-0.1742229991897548
2007-11,99.32958008771266,0.5964214711729809,100.1745043619974,0.39682539682546203,101.504212333758,-0.09794319294813558,103.834025780751,0.08698993618585504
2007-12,99.52588360567256,0.6951340615690027,100.669437683944,0.8928571428571619,101.504212333758,-0.09794319294813558,103.644232676943,-0.13922871223498445
2008-01,99.52588360567256,0.6951340615690027,100.5704510195546,0.7936507936507464,101.4046984000975,-0.09803921568622975,103.78429740831,0.13110879475854986
2008-02,99.62403536465251,0.9950248756218638,100.5704510195546,0.8937437934458226,101.3051844664369,-0.19607843137255943,103.694530548014,0.22459331607151967
2008-03,99.72218712363247,1.0945273631840502,100.669437683944,1.194029850746281,101.3051844664369,0.0,103.665388579823,0.21446890077747582
2008-04,99.32958008771266,0.6965174129353047,100.4714643551653,0.894632206759427,101.4046984000975,-0.09803921568622975,103.50241501073,-0.09722947502059931
2008-05,100.0166424005723,1.1916583912611411,101.1643710058906,1.4895729890764597,101.4046984000975,-0.09803921568622975,103.783718294995,0.06323728365262848
2008-06,100.6055529544521,1.9900497512438164,101.5603176634479,1.8867924528301883,101.504212333758,0.09813542688905663,103.978692615374,0.44464988589894006
2008-07,100.9981599903718,2.2862823061629456,101.9562643210052,2.385685884691857,101.6037262674186,0.29469548133600476,104.110125099205,0.5741045817129642
2008-08,100.9000082313919,2.1868787276341672,102.0552509853945,2.3833167825223267,101.6037262674186,8.881784197001252e-14,104.115898445948,0.45913632120409
2008-09,100.8018564724119,2.0874751491053,101.9562643210052,2.284011916583917,101.6037262674186,0.19627085377820208,104.139853327467,0.6646560224840448
2008-10,100.703704713432,1.684836471754192,101.7582909922265,1.8830525272546694,101.6037262674186,0.19627085377820208,104.074390545775,0.5069672125181723
2008-11,100.3110976775122,0.9881422924901129,101.2633576702799,1.0869565217390464,101.504212333758,0.0,103.852827969146,0.018107925849575324
