Division,Item,Published weight per 1000,Basket share,Within-division share
01 식료품 및 비주류음료,쌀,4.2,0.004200000000000001,0.029577464788732397
01 식료품 및 비주류음료,현미,0.4,0.0004,0.0028169014084507044
01 식료품 및 비주류음료,찹쌀,0.5,0.0005,0.0035211267605633804
01 식료품 및 비주류음료,보리쌀,0.2,0.0002,0.0014084507042253522
01 식료품 및 비주류음료,콩,0.5,0.0005,0.0035211267605633804
01 식료품 및 비주류음료,땅콩,0.1,0.0001,0.0007042253521126761
01 식료품 및 비주류음료,혼식곡,0.4,0.0004,0.0028169014084507044
01 식료품 및 비주류음료,밀가루,0.1,0.0001,0.0007042253521126761
01 식료품 및 비주류음료,국수,0.7,0.0007,0.004929577464788732
01 식료품 및 비주류음료,라면,2.4,0.0024,0.016901408450704224
01 식료품 및 비주류음료,당면,0.2,0.0002,0.0014084507042253522
01 식료품 및 비주류음료,두부,1.2,0.0012,0.008450704225352112
01 식료품 및 비주류음료,시리얼,0.4,0.0004,0.0028169014084507044
01 식료품 및 비주류음료,부침가루,0.6,0.0006,0.004225352112676056
01 식료품 및 비주류음료,케이크,1.6,0.0016,0.011267605633802818
01 식료품 및 비주류음료,빵,6.8,0.0068,0.04788732394366197
01 식료품 및 비주류음료,떡,1.9,0.0019,0.013380281690140845
01 식료품 및 비주류음료,파스타면,0.1,0.0001,0.0007042253521126761
01 식료품 및 비주류음료,국산쇠고기,8.6,0.0086,0.060563380281690136
01 식료품 및 비주류음료,수입쇠고기,3.1,0.0031,0.02183098591549296
01 식료품 및 비주류음료,돼지고기,9.8,0.009800000000000001,0.06901408450704226
01 식료품 및 비주류음료,닭고기,1.5,0.0015,0.01056338028169014
01 식료품 및 비주류음료,소시지,2.0,0.002,0.014084507042253521
01 식료품 및 비주류음료,햄및베이컨,2.7,0.0027,0.019014084507042256
01 식료품 및 비주류음료,기타육류가공품,0.9,0.0009,0.006338028169014085
01 식료품 및 비주류음료,갈치,1.1,0.0011,0.007746478873239438
01 식료품 및 비주류음료,명태,0.7,0.0007,0.004929577464788732
01 식료품 및 비주류음료,조기,0.9,0.0009,0.006338028169014085
01 식료품 및 비주류음료,고등어,2.0,0.002,0.014084507042253521
01 식료품 및 비주류음료,오징어,1.0,0.001,0.007042253521126761
01 식료품 및 비주류음료,게,0.9,0.0009,0.006338028169014085
01 식료품 및 비주류음료,굴,0.4,0.0004,0.0028169014084507044
01 식료품 및 비주류음료,조개,0.6,0.0006,0.004225352112676056
01 식료품 및 비주류음료,전복,0.5,0.0005,0.0035211267605633804
01 식료품 및 비주류음료,새우,0.7,0.0007,0.004929577464788732
01 식료품 및 비주류음료,마른멸치,0.5,0.0005,0.0035211267605633804
01 식료품 및 비주류음료,마른오징어,0.2,0.0002,0.0014084507042253522
01 식료품 및 비주류음료,낙지,0.5,0.0005,0.0035211267605633804
01 식료품 및 비주류음료,오징어채,0.2,0.0002,0.0014084507042253522
01 식료품 및 비주류음료,북어채,0.4,0.0004,0.0028169014084507044
01 식료품 및 비주류음료,어묵,0.8,0.0008,0.005633802816901409
01 식료품 및 비주류음료,맛살,0.2,0.0002,0.0014084507042253522
01 식료품 및 비주류음료,수산물통조림,0.7,0.0007,0.004929577464788732
01 식료품 및 비주류음료,젓갈,0.7,0.0007,0.004929577464788732
01 식료품 및 비주류음료,우유,3.4,0.0034,0.023943661971830985
01 식료품 및 비주류음료,분유,0.5,0.0005,0.0035211267605633804
01 식료품 및 비주류음료,치즈,0.7,0.0007,0.004929577464788732
01 식료품 및 비주류음료,발효유,2.0,0.002,0.014084507042253521
01 식료품 및 비주류음료,달걀,3.0,0.003,0.02112676056338028
01 식료품 및 비주류음료,참기름,0.6,0.0006,0.004225352112676056
