"[C]by City","by City","[I]by Expenditure Category","by Expenditure Category","[Item]Item","Item","UNIT","1965.01 Month","1965.02 Month","1965.03 Month","1965.04 Month","1965.05 Month","1965.06 Month","1965.07 Month","1965.08 Month","1965.09 Month","1965.10 Month","1965.11 Month","1965.12 Month","1966.01 Month","1966.02 Month","1966.03 Month","1966.04 Month","1966.05 Month","1966.06 Month","1966.07 Month","1966.08 Month","1966.09 Month","1966.10 Month","1966.11 Month","1966.12 Month","1967.01 Month","1967.02 Month","1967.03 Month","1967.04 Month","1967.05 Month","1967.06 Month","1967.07 Month","1967.08 Month","1967.09 Month","1967.10 Month","1967.11 Month","1967.12 Month","1968.01 Month","1968.02 Month","1968.03 Month","1968.04 Month","1968.05 Month","1968.06 Month","1968.07 Month","1968.08 Month","1968.09 Month","1968.10 Month","1968.11 Month","1968.12 Month","1969.01 Month","1969.02 Month","1969.03 Month","1969.04 Month","1969.05 Month","1969.06 Month","1969.07 Month","1969.08 Month","1969.09 Month","1969.10 Month","1969.11 Month","1969.12 Month","1970.01 Month","1970.02 Month","1970.03 Month","1970.04 Month","1970.05 Month","1970.06 Month","1970.07 Month","1970.08 Month","1970.09 Month","1970.10 Month","1970.11 Month","1970.12 Month","1971.01 Month","1971.02 Month","1971.03 Month","1971.04 Month","1971.05 Month","1971.06 Month","1971.07 Month","1971.08 Month","1971.09 Month","1971.10 Month","1971.11 Month","1971.12 Month","1972.01 Month","1972.02 Month","1972.03 Month","1972.04 Month","1972.05 Month","1972.06 Month","1972.07 Month","1972.08 Month","1972.09 Month","1972.10 Month","1972.11 Month","1972.12 Month","1973.01 Month","1973.02 Month","1973.03 Month","1973.04 Month","1973.05 Month","1973.06 Month","1973.07 Month","1973.08 Month","1973.09 Month","1973.10 Month","1973.11 Month","1973.12 Month","1974.01 Month","1974.02 Month","1974.03 Month","1974.04 Month","1974.05 Month","1974.06 Month","1974.07 Month","1974.08 Month","1974.09 Month","1974.10 Month","1974.11 Month","1974.12 Month","1975.01 Month","1975.02 Month","1975.03 Month","1975.04 Month","1975.05 Month","1975.06 Month","1975.07 Month","1975.08 Month","1975.09 Month","1975.10 Month","1975.11 Month","1975.12 Month","1976.01 Month","1976.02 Month","1976.03 Month","1976.04 Month","1976.05 Month","1976.06 Month","1976.07 Month","1976.08 Month","1976.09 Month","1976.10 Month","1976.11 Month","1976.12 Month","1977.01 Month","1977.02 Month","1977.03 Month","1977.04 Month","1977.05 Month","1977.06 Month","1977.07 Month","1977.08 Month","1977.09 Month","1977.10 Month","1977.11 Month","1977.12 Month","1978.01 Month","1978.02 Month","1978.03 Month","1978.04 Month","1978.05 Month","1978.06 Month","1978.07 Month","1978.08 Month","1978.09 Month","1978.10 Month","1978.11 Month","1978.12 Month","1979.01 Month","1979.02 Month","1979.03 Month","1979.04 Month","1979.05 Month","1979.06 Month","1979.07 Month","1979.08 Month","1979.09 Month","1979.10 Month","1979.11 Month","1979.12 Month","1980.01 Month","1980.02 Month","1980.03 Month","1980.04 Month","1980.05 Month","1980.06 Month","1980.07 Month","1980.08 Month","1980.09 Month","1980.10 Month","1980.11 Month","1980.12 Month","1981.01 Month","1981.02 Month","1981.03 Month","1981.04 Month","1981.05 Month","1981.06 Month","1981.07 Month","1981.08 Month","1981.09 Month","1981.10 Month","1981.11 Month","1981.12 Month","1982.01 Month","1982.02 Month","1982.03 Month","1982.04 Month","1982.05 Month","1982.06 Month","1982.07 Month","1982.08 Month","1982.09 Month","1982.10 Month","1982.11 Month","1982.12 Month","1983.01 Month","1983.02 Month","1983.03 Month","1983.04 Month","1983.05 Month","1983.06 Month","1983.07 Month","1983.08 Month","1983.09 Month","1983.10 Month","1983.11 Month","1983.12 Month","1984.01 Month","1984.02 Month","1984.03 Month","1984.04 Month","1984.05 Month","1984.06 Month","1984.07 Month","1984.08 Month","1984.09 Month","1984.10 Month","1984.11 Month","1984.12 Month","1985.01 Month","1985.02 Month","1985.03 Month","1985.04 Month","1985.05 Month","1985.06 Month","1985.07 Month","1985.08 Month","1985.09 Month","1985.10 Month","1985.11 Month","1985.12 Month","1986.01 Month","1986.02 Month","1986.03 Month","1986.04 Month","1986.05 Month","1986.06 Month","1986.07 Month","1986.08 Month","1986.09 Month","1986.10 Month","1986.11 Month","1986.12 Month","1987.01 Month","1987.02 Month","1987.03 Month","1987.04 Month","1987.05 Month","1987.06 Month","1987.07 Month","1987.08 Month","1987.09 Month","1987.10 Month","1987.11 Month","1987.12 Month","1988.01 Month","1988.02 Month","1988.03 Month","1988.04 Month","1988.05 Month","1988.06 Month","1988.07 Month","1988.08 Month","1988.09 Month","1988.10 Month","1988.11 Month","1988.12 Month","1989.01 Month","1989.02 Month","1989.03 Month","1989.04 Month","1989.05 Month","1989.06 Month","1989.07 Month","1989.08 Month","1989.09 Month","1989.10 Month","1989.11 Month","1989.12 Month","1990.01 Month","1990.02 Month","1990.03 Month","1990.04 Month","1990.05 Month","1990.06 Month","1990.07 Month","1990.08 Month","1990.09 Month","1990.10 Month","1990.11 Month","1990.12 Month",
"T10","whole country","0","0 Total item","T[14101.ausgabe]","CPI[2020=100]","2020=100","2.493","2.548","2.553","2.593","2.645","2.621","2.654","2.682","2.668","2.652","2.607","2.615","2.678","2.754","2.798","2.827","2.906","2.91","2.897","2.957","3.012","3.09","3.012","3.014","3.031","3.074","3.117","3.201","3.232","3.196","3.201","3.24","3.292","3.344","3.365","3.362","3.428","3.481","3.516","3.514","3.521","3.535","3.533","3.555","3.573","3.67","3.757","3.733","3.83","3.853","3.883","3.903","3.928","3.942","3.942","3.962","4.09","4.2","4.247","4.341","4.4","4.488","4.586","4.684","4.637","4.539","4.571","4.604","4.716","4.809","4.8","4.967","5.098","5.199","5.297","5.274","5.18","5.172","5.264","5.311","5.4","5.357","5.366","5.418","5.501","5.677","5.836","5.874","5.898","5.93","5.993","6.087","6.092","6.022","5.911","5.915","5.934","5.952","5.961","5.993","6.028","6.013","6.046","6.106","6.157","6.166","6.241","6.417","6.692","7.045","7.31","7.446","7.483","7.427","7.589","7.827","7.957","7.883","7.989","8.114","8.394","8.546","8.707","8.982","9.304","9.427","9.598","9.807","10.148","10.29","10.214","10.262","10.328","10.441","10.622","10.735","10.801","10.905","11.115","11.228","11.313","11.19","11.18","11.247","11.331","11.598","11.758","11.768","11.89","12.005","12.157","12.318","12.355","12.318","12.365","12.479","12.839","13.104","13.274","13.255","13.388","13.757","13.956","13.985","14.268","14.392","14.468","14.524","14.648","15.16","15.435","15.813","16.307","16.458","16.533","16.59","16.818","16.931","17.187","17.604","18.368","19.163","19.876","20.022","20.652","20.904","21.073","21.428","21.827","22.435","22.561","23.273","23.651","23.84","24.301","24.51","25.056","25.747","25.999","26.272","26.607","26.544","26.314","26.461","26.587","26.712","26.963","27.006","27.216","27.383","27.446","27.53","27.655","27.592","27.425","27.739","27.95","28.138","28.242","28.16","28.242","28.221","28.221","28.242","28.284","28.263","28.201","28.284","28.452","28.704","28.809","28.893","28.85","28.704","28.704","28.85","29.186","29.04","28.976","28.976","29.052","29.259","29.289","29.319","29.526","29.555","29.555","29.614","29.939","30.028","29.674","29.85","30.117","30.293","30.353","30.323","30.501","30.442","30.471","30.442","30.619","30.323","30.265","30.265","30.382","30.442","30.677","30.855","31.327","31.299","31.209","31.653","31.86","31.89","31.831","32.096","32.273","32.805","33.279","33.221","33.396","33.604","33.663","33.84","33.929","33.84","34.107","34.402","34.46","34.579","34.816","34.963","35.407","35.466","35.436","35.703","36.028","36.116","36.175","36.146","36.982","37.213","37.598","38.022","38.445","38.636","38.752","38.907","39.138","39.253","39.292","39.521",
"T10","whole country","A","01 Food and non-alcoholic beverages","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.259","20.654","20.487","20.467","20.737","20.778","20.695","20.82","21.34","21.421","20.611","20.82","21.317","21.671","21.588","21.484","21.649","21.215","21.215","21.151","21.421","20.737","20.591","20.487","20.654","20.695","20.861","21.11","21.92","21.816","21.609","22.522","22.854","22.771","22.584","22.999","23.291","23.851","24.12","23.851","23.954","24.162","24.224","24.452","24.557","24.162","24.494","24.971","25.178","25.262","25.302","25.324","25.781","25.635","25.242","25.697","26.237","26.196","26.113","25.967","26.58","26.805","26.891","27.622","28.299","28.468","28.553","28.807","29.314","29.259","28.835","28.835",
"T10","whole country","A01","01.1 Food","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.805","20.19","20.028","20.008","20.272","20.312","20.231","20.353","20.88","20.941","20.149","20.353","20.84","21.184","21.083","20.982","21.144","20.698","20.698","20.637","20.9","20.211","20.049","19.947","20.11","20.149","20.332","20.596","21.428","21.306","21.103","22.037","22.382","22.3","22.118","22.524","22.829","23.396","23.681","23.396","23.498","23.721","23.783","24.006","24.107","23.721","24.045","24.533","24.756","24.837","24.877","24.898","25.365","25.222","24.817","25.284","25.832","25.79","25.71","25.568","26.147","26.369","26.452","27.231","27.898","28.064","28.175","28.397","28.953","28.897","28.452","28.425",
"T10","whole country","A011","Bread and cereals","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.603","26.203","26.64","27.076","27.648","28.03","28.193","28.412","27.947","27.293","26.803","27.321","28.112","28.684","28.575","28.602","28.63","28.712","28.821","29.039","29.366","28.412","28.494","28.329","28.302","28.52","28.792","29.147","29.911","29.666","29.829","30.457","30.32","30.265","30.457","30.292","30.129","30.32","30.92","31.137","31.52","31.683","32.065","32.638","32.638","32.556","32.473","32.392","32.392","32.447","32.611","32.693","32.719","32.774","32.938","33.02","32.828","32.965","33.892","34.028","34.414","34.667","34.958","35.573","36.696","37.276","37.348","37.058","36.769","36.589","36.515","36.878",
"T10","whole country","A01101","White rice","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.049","10.049","9.943","10.259","10.417","10.417","11.153","11.416","11.521","11.995","11.942","12.048","11.995","12.154","12.206","12.1","12.417","13.258","14.047","14.678","14.784","14.099","13.942","13.679","13.469","13.626","13.837","13.731","13.837","13.942","14.469","14.521","14.363","14.153","13.679","13.731","14.363","14.784","14.678","14.469","14.784","14.889","14.889","14.889","14.889","14.889","14.889","14.889","14.889","16.731","16.835","16.94","16.94","17.046","17.151","17.309","17.362","17.572","18.466","19.097","18.887","19.992","20.255","20.149","20.149","20.308","20.57","20.992","22.36","25.359","25.254","26.885","26.937","26.411","26.253","26.358","26.673","28.778","29.83","30.514","30.303","28.884","27.042","26.358","26.095","26.411","26.411","27.359","29.882","30.987","31.251","31.356","30.094","28.41","27.516","27.2","27.621","28.778","29.146","29.042","28.989","29.094","29.094","28.884","28.568","28.042","26.885","26.568","26.885","28.147","28.41","28.778","28.989","28.989","29.094","29.199","29.568","28.568","28.147","28.042","27.463","28.358","28.989","29.672","30.567","31.199","31.462","31.935","31.251","30.146","29.305","30.094","31.409","32.461","32.461","32.461","32.514","32.618","32.672","33.04","33.513","32.039","31.883","31.62","31.567","31.829","32.039","32.618","33.724","33.724","33.829","34.881","34.67","34.618","34.828","34.565","34.249","34.618","35.513","35.828","36.46","36.776","37.354","38.248","38.248","38.091","37.985","38.091","38.195","38.248","38.406","38.406","38.406","38.406","38.511","38.564","38.353","38.564","40.036","40.089","39.932","40.352","40.668","41.51","43.35","44.087","44.087","43.404","42.668","42.457","42.247","42.825",
"T10","whole country","A01103","Glutinous rice","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.757","6.795","6.638","6.6","6.678","6.638","6.6","6.6","6.56","6.481","6.56","6.678","6.992","7.503","7.778","7.778","8.133","8.485","9.35","10.096","10.253","9.428","9.036","9.702","9.821","9.979","9.979","9.979","10.056","10.017","10.017","10.017","10.056","9.35","9.271","9.35","9.507","9.86","9.86","9.86","9.86","10.763","11.55","11.55","12.021","11.707","11.902","12.728","13.199","14.143","15.203","15.359","15.438","16.223","17.718","18.228","18.542","17.718","16.774","17.05","17.166","18.267","18.267","18.306","18.306","18.621","18.621","18.699","19.68","20.074","20.074","20.938","22.116","22.784","23.138","23.766","25.103","27.027","27.773","28.519","28.441","25.103","23.962","22.824","22.391","22.589","22.589","22.784","22.942","22.902","22.784","22.981","22","20.31","19.799","19.916","20.27","21.174","21.763","21.685","21.685","22.391","23.098","23.098","22.784","22.314","22","22.195","22.706","23.608","23.766","24.081","24.315","24.435","24.788","25.769","26.242","24.709","23.452","23.727","23.962","24.473","24.866","25.455","25.888","25.888","25.691","25.298","25.377","25.063","24.749","25.338","26.163","26.438","26.752","26.909","26.792","26.831","27.341","30.483","31.505","29.187","27.93","27.852","28.481","29.148","30.327","31.308","32.055","32.33","32.251","32.409","32.055","30.483","30.13","29.933","29.816","29.895","29.699","29.659","29.659","29.305","28.951","28.795","28.519","28.087","28.283","28.206","28.323","28.558","29.07","28.991","29.933","33.233","35.041","35.041","35.159","35.08","36.297","38.733","39.597","40.815","42.346","43.368","43.958","44.9","46.276","51.579","52.561","43.408","41.442","42.033",
"T10","whole country","A01104","Barley","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.13","5.268","5.165","5.579","6.095","6.059","6.026","6.095","6.095","6.129","6.059","6.026","6.059","6.026","6.059","6.095","6.095","6.095","6.335","6.887","7.024","6.956","6.956","6.956","6.921","7.024","7.265","7.954","8.161","8.057","8.161","8.161","8.195","8.161","8.125","8.125","8.23","8.23","8.436","8.436","8.436","8.471","8.781","8.746","8.644","8.677","8.746","8.781","8.677","8.712","8.746","8.677","8.471","8.471","8.368","8.299","8.092","8.195","8.23","8.299","8.368","8.368","8.401","8.436","8.436","8.436","8.401","8.574","9.538","11.914","13.636","14.772","14.841","14.601","14.566","14.566","14.566","14.566","14.566","15.805","17.596","17.114","16.976","16.976","16.976","16.976","16.976","16.976","16.976","16.976","20.454","20.454","20.454","20.454","24.552","24.552","24.552","24.552","24.552","24.552","24.552","24.552","24.552","24.552","24.552","24.552","24.552","26.825","26.825","26.825","26.825","26.825","26.825","26.825","27.34","27.34","27.34","27.34","27.34","27.34","27.34","27.34","27.34","27.34","27.34","27.823","28.718","28.718","28.718","28.718","28.718","28.718","28.718","28.718","28.718","28.718","28.718","28.718","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","30.749","34.434","34.434","34.434","34.434","34.434","34.434","34.434","34.434","34.434","34.434","34.434","34.434",
"T10","whole country","A01105","Soybean","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.886","1.95","1.95","1.95","1.98","2.012","2.044","2.169","2.295","2.421","2.326","2.295","2.326","2.451","2.546","2.578","2.86","3.081","3.207","3.238","3.238","3.081","3.112","3.175","3.301","3.489","3.646","3.836","3.898","3.961","3.961","3.93","3.93","3.616","3.583","3.804","3.866","3.866","3.866","3.866","3.866","3.992","4.182","4.087","4.024","3.992","4.369","4.558","4.496","4.496","4.496","4.401","4.401","4.338","4.401","4.433","4.369","4.433","4.558","4.684","5.03","5.722","5.784","5.784","5.879","5.879","5.91","5.973","6.036","6.507","8.142","8.959","9.557","9.683","9.683","9.714","9.745","9.84","9.935","9.966","9.84","9.4","9.431","9.336","9.211","9.148","9.022","9.022","9.054","9.117","9.494","9.683","9.463","9.179","9.243","9.274","9.431","9.776","9.871","10.217","10.374","10.594","11.129","11.097","10.815","10.28","10.249","10.312","10.406","10.468","10.468","10.468","10.468","10.658","10.783","10.815","10.5","10.343","10.185","10.122","10.217","10.343","10.343","10.343","10.343","10.249","10.185","10.122","10.092","9.902","10.028","10.249","10.468","10.5","10.531","10.468","10.531","10.531","10.563","10.783","10.72","10.5","10.594","10.688","10.783","10.845","10.909","11.097","11.883","11.852","11.663","11.758","11.632","11.381","11.789","12.008","11.883","11.726","11.726","11.758","11.758","11.789","12.04","12.292","12.229","12.229","12.355","12.731","12.889","13.109","13.14","13.235","13.203","13.109","13.14","13.109","12.952","12.889","13.14","13.423","13.487","13.33","13.392","13.361","13.173","12.638","12.355","12.355","12.292","12.355","12.607","12.795",
"T10","whole country","A01106","Peanut","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.553","5.584","5.646","5.677","5.709","5.584","5.584","5.584","5.334","5.053","4.897","4.835","5.178","5.615","5.802","6.052","6.488","6.8","7.018","7.081","7.236","7.455","6.675","7.018","7.455","8.391","8.578","8.61","8.797","9.139","9.359","9.982","9.92","8.547","7.143","7.611","7.736","7.331","7.081","7.143","8.142","9.545","9.733","9.607","9.639","9.389","8.797","8.797","8.828","9.046","9.359","9.359","9.67","10.294","10.793","11.761","11.354","10.481","9.67","9.701","11.292","11.947","11.885","11.761","11.761","11.792","11.635","11.541","11.761","12.166","13.756","14.723","15.909","17.031","19.776","21.524","24.113","24.019","21.461","20.806","19.776","18.81","17.53","17.344","16.969","17.094","17.749","17.812","17.999","18.092","17.843","17.53","17.469","17.313","16.689","16.065","16.002","16.034","16.065","15.504","15.441","15.316","15.316","16.409","17.469","17.781","15.972","15.878","16.75","17.156","17.53","17.406","17.781","18.03","18.592","20.152","17.874","16.72","17.156","17.282","18.248","18.966","19.247","19.745","19.932","20.62","20.993","20.307","18.592","17.655","17.718","17.967","17.967","18.622","19.059","19.153","19.153","19.621","19.808","19.715","19.715","18.935","18.529","18.529","18.467","18.405","18.654","18.654","18.81","19.496","19.122","19.059","19.247","19.09","17.906","17.967","17.967","17.937","17.906","17.843","17.655","17.655","17.655","17.655","17.781","17.655","17.437","17.344","17.967","18.248","18.467","18.467","17.937","17.781","17.812","17.843","17.749","17.718","17.718","17.843","18.154","18.405","18.592","19.247","20.401","21.088","21.212","20.681","20.681","21.461","23.614","24.799",
"T10","whole country","A01108","Wheat flour","T[14101.ausgabe]","CPI[2020=100]","2020=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.397","8.046","8.046","9.639","10.395","10.395","10.368","10.314","10.341","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.368","10.341","10.341","10.341","10.368","9.801","9.963","9.963","9.963","9.963","9.963","9.963","9.963","9.963","9.936","9.963","9.963","9.963","9.963","9.963","9.963","9.963","9.963","9.99","10.044","9.963","9.963","9.963","9.963","9.963","9.963","9.963","10.719","12.771","12.771","12.743","12.743","12.743","12.743","15.471","16.848","16.848","16.848","16.848","16.848","16.848","20.196","20.196","20.196","20.196","20.196","20.196","20.169","20.169","20.169","20.169","20.169","20.169","20.169","20.169","20.142","20.142","20.142","20.142","20.142","19.548","19.17","19.17","19.17","19.17","19.17","19.17","18.441","18.386","18.359","18.359","18.359","18.359","18.359","18.306","18.226","18.226","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.197","18.872","19.034","19.061","19.278","19.278","19.278","19.305","20.142","20.25","20.25","20.25","20.358","20.384","20.384","20.384","20.358","20.358","20.358","20.358","20.358","20.358","20.358","20.358","20.331","20.331","20.303","19.332","19.034","18.927","18.899","18.899","18.899","18.899","18.927","18.954","18.98","18.98","18.98","18.98","18.98","18.98","18.98","19.197","19.898","19.925","19.925","20.034","20.276","20.682","20.898","20.898","20.925","21.061","21.249","21.249","21.249","21.249","21.384","21.707","22.653","22.869","22.977","23.058","23.084","23.3","23.328","23.328","23.328","23.408",
