Code,Name,Tier,First observation,Last observation,Observations
0,0 Total item,0,1965-01-01,1990-12-01,312
A,01 Food and non-alcoholic beverages,1,1985-01-01,1990-12-01,72
A01,01.1 Food,2,1985-01-01,1990-12-01,72
A011,Bread and cereals,3,1985-01-01,1990-12-01,72
A01101,White rice,4,1975-01-01,1990-12-01,192
A01103,Glutinous rice,4,1975-01-01,1990-12-01,192
A01104,Barley,4,1975-01-01,1990-12-01,192
A01105,Soybean,4,1975-01-01,1990-12-01,192
A01106,Peanut,4,1975-01-01,1990-12-01,192
A01108,Wheat flour,4,1975-01-01,1990-12-01,192
A01109,Noodles,4,1975-01-01,1990-12-01,192
A01110,Instant noodles,4,1975-01-01,1990-12-01,192
A01111,Glass noodles,4,1975-01-01,1990-12-01,192
A01112,Tofu,4,1975-01-01,1990-12-01,192
A01115,Cake,4,1985-01-01,1990-12-01,72
A01116,Sliced bread,4,1985-01-01,1990-12-01,72
A01117,Rice cake,4,1975-01-01,1990-12-01,192
A012,Meat,3,1985-01-01,1990-12-01,72
A01201,Beef (domestic),4,1975-01-01,1990-12-01,192
A01203,Pork,4,1975-01-01,1990-12-01,192
A01204,Chicken,4,1975-01-01,1990-12-01,192
A01205,Sausage,4,1975-01-01,1990-12-01,192
A013,Fish and seafood,3,1985-01-01,1990-12-01,72
A01301,Hairtail,4,1975-01-01,1990-12-01,192
A01302,Pollack,4,1975-01-01,1990-12-01,192
A01303,Yellow corvina,4,1975-01-01,1990-12-01,192
A01304,Mackerel,4,1975-01-01,1990-12-01,192
A01305,Squid,4,1975-01-01,1990-12-01,192
A01307,Oyster,4,1975-01-01,1990-12-01,192
A01308,Clam,4,1975-01-01,1990-12-01,192
A01311,Dried anchovies,4,1975-01-01,1990-12-01,192
A01312,Dried squid,4,1975-01-01,1990-12-01,192
A01314,Dried shredded squid,4,1990-01-01,1990-12-01,12
A01315,Dried shredded pollack,4,1990-01-01,1990-12-01,12
A01316,Fish cake,4,1985-01-01,1990-12-01,72
A01317,Imitation crab meat,4,1990-01-01,1990-12-01,12
A01318,Canned marine products,4,1975-01-01,1990-12-01,192
A01319,Fermented fish,4,1975-01-01,1990-12-01,192
A014,"Milk, cheese and eggs",3,1985-01-01,1990-12-01,72
A01401,Milk,4,1985-01-01,1990-12-01,72
A01402,Milk powder,4,1975-01-01,1990-12-01,192
A01403,Cheese,4,1990-01-01,1990-12-01,12
A01404,Fermented milk,4,1975-01-01,1990-12-01,192
A01405,Egg,4,1975-01-01,1990-12-01,192
A015,Oils and fats,3,1985-01-01,1990-12-01,72
A01501,Sesame oil,4,1975-01-01,1990-12-01,192
A01502,Cooking oil,4,1975-01-01,1990-12-01,192
A016,Fruit,3,1985-01-01,1990-12-01,72
A01601,Apple,4,1980-01-01,1990-12-01,132
A01602,Pear,4,1975-01-01,1990-12-01,192
A01603,Peach,4,1975-01-01,1990-12-01,192
A01604,Grape,4,1975-01-01,1990-12-01,192
A01605,Chestnut,4,1975-01-01,1990-12-01,192
A01606,Persimmon,4,1975-01-01,1990-12-01,192
A01607,Mandarin orange,4,1975-01-01,1990-12-01,192
A01609,Korean melons,4,1975-01-01,1990-12-01,192
A01610,Watermelon,4,1975-01-01,1990-12-01,192
A01611,Strawberry,4,1975-01-01,1990-12-01,192
A01612,Banana,4,1990-01-01,1990-12-01,12
A01620,Processed fruit products,4,1975-01-01,1990-12-01,192
A017,Vegetables & seaweeds,3,1985-01-01,1990-12-01,72
