iteration,log_likelihood,change_in_log_likelihood,beta1,beta2,beta4,eps1,eps2,eps3,eps4,eps5,eps6,eps7,g_star,lambda1,lambda2,lambda3,phi1,phi2,psi,rho1
0,-33775.34742287742,,1.3106447786731354,-0.34224632202495125,0.803819797765478,0.0001,0.1376511626266462,0.28622769281277416,5.505294159154915,0.07786607362831245,0.0030533450006181655,0.06165972732576133,0.008736627163781208,9.070305887099796,-5.206519850840879,-6.9739342621135405,0.9030673225554019,-0.3071164402699379,0.0024250303033717395,0.6958399561988983
1,-44.066262915218566,33731.2811599622,1.3199899807882776,-0.3237576305978271,0.8106660012343401,0.0028653547805595797,0.1401417156857677,0.2940470955754463,5.509170052167089,0.08067498920792378,0.003589636050551754,0.07238226891286047,0.008854252228241016,9.028407604382512,-5.152828871835253,-7.1015408954998485,0.9080289890235186,-0.29988571273073306,0.0025203378277941914,0.6974671954134912
2,-38.63973826735559,5.426524647862976,1.319937026989475,-0.3232663145991943,0.8112110412667171,0.0030378062166515076,0.14030501969257123,0.29456838542011177,5.509273930692451,0.08079350899445976,0.0036428054532354403,0.07340174424281241,0.008870873658108286,9.025322665293746,-5.1489179666848255,-7.111642947874581,0.9091626813954765,-0.2987097263804614,0.0025283537515541042,0.7001408825703213
3,-17.716548716012927,20.923189551342663,1.3132796575181294,-0.3272118973779799,0.8148780901062702,0.003991829138686008,0.1410941664387755,0.2972031598512657,5.508104208570756,0.08077740364735853,0.00402368733610365,0.0806713085232487,0.008982604155262516,9.006533313097965,-5.125603178853925,-7.1782536218564585,0.9202660268322995,-0.28866787696617496,0.002582251895503219,0.7291788972922931
4,-7.2102346831049005,10.506314032908026,1.3097924766437459,-0.3281383749478688,0.8189018760412986,0.004755859939549284,0.14127974994919704,0.2980752515613344,5.5020460589989035,0.07918464257413067,0.004446720472215824,0.08874231900543689,0.009058506724095954,8.9886496631109,-5.106070098262647,-7.246590789188179,0.9345493993754463,-0.2777855322230369,0.002624227382712874,0.774037878410727
5,0.7365269431931081,7.9467616262980085,1.3057603556627153,-0.32813742824457115,0.8263740270596671,0.005583998333590117,0.13962077513663582,0.2943314852514136,5.474006503114335,0.07303199287653515,0.005070092183480537,0.10055972524470635,0.009036075991104198,8.969579968699641,-5.088554430507406,-7.336865452404342,0.9516015454884945,-0.2716436020909097,0.0026320049436158823,0.8485582928448588
6,4.555896386668011,3.819369443474903,1.2883362304726658,-0.34218388077636985,0.8395591535560593,0.006158218990907298,0.13473476650355334,0.28598724795387465,5.4011081478156875,0.06194067352161965,0.00571770681485414,0.11346084735689257,0.009087715250255996,8.97406672397534,-5.0848756286819965,-7.406156409915142,0.9560034635873175,-0.2967498074044499,0.0025029844368360627,0.8687542120742394
7,5.572434228835382,1.016537842167371,1.3040178397182514,-0.324562709215599,0.8453198392722747,0.006374791773000621,0.13243615232087017,0.2832216727387188,5.3670261927916,0.05735496161035353,0.005988643960518467,0.1190226220107278,0.009104932628526968,8.978973296622359,-5.088617547693265,-7.437183313233615,0.9612162958200285,-0.30752451271414205,0.00242157537586376,0.8771071508438011
8,6.037728735285262,0.46529450644988035,1.2982326680118035,-0.3302378563474181,0.8510787921675445,0.006510874843871112,0.1299633710107027,0.28056303249092246,5.331819146334434,0.05297854919682335,0.00621627468282581,0.12379559858830474,0.009117008705458207,8.988091704584422,-5.096136028091486,-7.461595461499795,0.9668431309186789,-0.31935016124259114,0.002346335471948044,0.8793872612782541
9,6.486776721439298,0.44904798615403596,1.2978073174800442,-0.33401463456223346,0.8564392542774416,0.006508897396298054,0.12728147965657519,0.28127827351394336,5.297319679267304,0.05066494059716286,0.006359608877690834,0.12720164606110584,0.00910647129928315,9.007783858233818,-5.12076709178391,-7.483677061645526,0.9842669631945287,-0.3276594613625332,0.002257955853301288,0.8811591050689758
10,8.011836985245488,1.5250602638061892,1.3042097874873595,-0.34637219485458826,0.8782944420769743,0.006253576960498696,0.11579473299377151,0.28768435068734155,5.161330789094134,0.04543997535087529,0.006783561569650852,0.13856119173621878,0.009046416131544496,9.109255044828707,-5.261581983181818,-7.572668752572211,1.0726103965136111,-0.3646875861584244,0.0018858369038514526,0.8829533201248054
11,9.312750942797997,1.3009139575525097,1.3129786363836515,-0.35484218396059897,0.9028783651729031,0.005843664588984129,0.10287928346376772,0.2891583938104563,5.046826867255823,0.045028184375548855,0.0070654440977481825,0.14810490351286318,0.009009078952117817,9.23726101820297,-5.475749712541655,-7.6810933342851975,1.1626734343689293,-0.43879278146913325,0.0015521471786099717,0.8797563807971515
12,10.504459819138987,1.1917088763409893,1.3206952538457648,-0.35598358552071674,0.9393339737008227,0.005480163731005366,0.08416517291246531,0.2862432764592191,4.98431994634148,0.04529478919503556,0.007072337259364362,0.15623571956655438,0.008984861379825319,9.436486578268378,-5.899735144156319,-7.857997514390988,1.2853908635846023,-0.565318181795523,0.0014449320047181069,0.8929388568553132
13,11.034136602319505,0.529676783180518,1.32343790007829,-0.3505334464956089,0.9670049145832094,0.005524574782819456,0.07205890912895666,0.2853392285838545,4.989304786156584,0.044399068791743615,0.006847530300301159,0.15896875027652815,0.008991516765110317,9.58040289316629,-6.242291390522338,-7.976890182454329,1.357261617688284,-0.645170787842768,0.0015673076803571536,0.8567833874084537
14,11.409356069596477,0.3752194672769722,1.3193403062634292,-0.34306717786290014,0.9719103694514608,0.005686934778100825,0.07104963659023578,0.2845797358306616,5.053513801254213,0.04448630554093079,0.0065551344712847116,0.1558298113758689,0.009026233072558513,9.609661247971106,-6.364613271719678,-8.003986133896367,1.3655505625711784,-0.640221901285934,0.0018026489523479245,0.8612639626176031
15,11.563064059279707,0.1537079896832303,1.3110146104431826,-0.3370884352157319,0.9797389755835285,0.005819436922185391,0.06980757101645799,0.284824162718449,5.0931109772621355,0.043177162049780476,0.00634749384334629,0.15472661737308002,0.009052723572500452,9.645740757010833,-6.499728309758591,-8.038095456428758,1.3593900119011182,-0.6401767004445742,0.001970606232100592,0.8673872909213869
16,11.63964983390574,0.07658577462603233,1.3063700635933075,-0.3346344344604302,0.9918305885616108,0.0058345531038630685,0.06745634719750548,0.2850421496695079,5.094449656154121,0.04240402001032528,0.006273984450987238,0.15652199815130347,0.009055723581586836,9.702031655816036,-6.653803934503959,-8.088356647251656,1.3656603140612427,-0.6424119669227909,0.002034526121074233,0.8684578325590387
17,11.736352768465226,0.09670293455948631,1.2993600408699335,-0.330122949386151,1.0134187208516983,0.005828394411033983,0.06440873253534683,0.28539993904363514,5.087378046337484,0.04163280901034732,0.006191643707885377,0.16008570389268764,0.009052101910556163,9.799750094556833,-6.9174813253761736,-8.174860478047536,1.3632296079053339,-0.6407588998480491,0.002120460554968183,0.8673567426561123
18,11.81879771553562,0.08244494707039429,1.2958117237936075,-0.32627824741340283,1.0337642681157486,0.005797410728583565,0.06250801232992442,0.2856753611121212,5.075280377157096,0.04205136112615998,0.0061458812749967395,0.16282378400292033,0.00904702658508898,9.89153894832699,-7.157636282019046,-8.254368962234654,1.3510309840062793,-0.6331705972476082,0.0021880733923160607,0.866149366890538
19,11.872107188253324,0.0533094727177037,1.2940417449432422,-0.33054984743467136,1.0559808523923389,0.005777752688515649,0.060774898516069334,0.28568531239989764,5.0550211214589345,0.04358697027874986,0.0061286107749838675,0.16341013270614899,0.009053727681571264,9.991645160294777,-7.395943593929167,-8.336254052400173,1.3370159599468694,-0.6216908722446677,0.0022429164433737723,0.8610169013273767
20,11.985708869111455,0.11360168085813172,1.2964606728313897,-0.32628669414859135,1.0881244621138504,0.005757808158268882,0.05927862727273227,0.286528544058372,5.026203085564383,0.045097252156054445,0.006111871660264221,0.16520933092452705,0.009055742379722079,10.132993661851845,-7.745295713239839,-8.454028002407636,1.3047552102952795,-0.5945062289278996,0.002323844879494625,0.8575996743472513
21,12.034030511749865,0.048321642638409656,1.3013891494337364,-0.32775944558811837,1.1014058522294898,0.005755964326245937,0.05904566509054646,0.2866212722616556,5.00751308525368,0.04617652454709779,0.006144490949193559,0.16425031799926704,0.009059766440253695,10.189455275916314,-7.865849456816115,-8.498210934824435,1.2876726215324805,-0.5812104371620483,0.0023241053948414147,0.856080833232891
22,12.066352070472064,0.03232155872219877,1.3065289569323728,-0.3310277782697394,1.1135544644015338,0.0057603867898280885,0.05843378942638741,0.28637064556362907,4.9892189083113045,0.04680332773159068,0.006187421596277338,0.16270050516354526,0.009061740799772384,10.239603416671772,-7.9608716755313305,-8.536788387984277,1.2764571751972007,-0.5732272580324127,0.0022959650363055615,0.855647206536489
23,12.093944087952137,0.027592017480072784,1.3093462013751904,-0.3336837384372458,1.128823614518203,0.005757392926102082,0.05685388219748605,0.28584909638564304,4.973673501056483,0.046483982709267575,0.006226601386492908,0.1620378822326099,0.009051595680614413,10.300399848488029,-8.072831243643089,-8.586137134773356,1.2741453411494779,-0.5712002354417426,0.0022338349091439646,0.8550215495631643
24,12.124297663641151,0.030353575689014534,1.3095736359289467,-0.3346355498517642,1.159774244942997,0.005775518321326287,0.05417466169345867,0.2863666046746983,4.975793662961259,0.04545499615911777,0.006281828030656029,0.16228932494919032,0.009061538681145264,10.411198931681549,-8.236068187301274,-8.682166016407137,1.2813381511067237,-0.5763411865293517,0.0020578969381103104,0.855611558111708
25,12.133239888065363,0.008942224424211886,1.3091601070541097,-0.3349483297359476,1.180531954621573,0.005755592847250325,0.05361353233230476,0.2858542732916715,4.987627317337207,0.044617944146412854,0.006317412363824852,0.16266803168792288,0.009029924629104652,10.4729437413836,-8.278927027111148,-8.734620605202263,1.2826215866860577,-0.5799742739806143,0.001974240322157684,0.8516707322628725
26,12.142868080894367,0.009628192829003623,1.3090741034453406,-0.33455182987744214,1.1915061676963903,0.005755579770587066,0.053165470902231504,0.28576713675855797,4.996652706823874,0.04455885414228101,0.0063165405914012065,0.16295065621243163,0.00903187023314414,10.50706140393019,-8.30454957173007,-8.764482842554735,1.288744557285834,-0.5820249390815063,0.0019581183679071674,0.8526292999831899
27,12.153873040661853,0.01100495976748661,1.3091997814291425,-0.3340803689639801,1.2073150810138442,0.005755183465261664,0.0533873288058501,0.2856781610999573,5.0107749379809725,0.044614642598060146,0.0063182171404658405,0.1631578590452344,0.00903478518123932,10.549228454772075,-8.299874936165278,-8.799131543893164,1.292792190813858,-0.5843808763481574,0.001961375348897151,0.8533973848977882
28,12.174512359252471,0.02063931859061796,1.3096362801386976,-0.33347553132899965,1.2473254732274768,0.005756711624215383,0.05452846874560994,0.2857190444054112,5.032033377807293,0.04469615931868538,0.006328052041214097,0.16344494549886857,0.00904186639683983,10.655404448242207,-8.286146004864882,-8.881184790187595,1.292556435407527,-0.5845168285644671,0.00199999397487833,0.8552620851239495
29,12.205940161304484,0.03142780205201312,1.311106048646733,-0.333414993923585,1.3150714540307706,0.005761482886030472,0.05653785283914762,0.2856252398070943,5.0437526180735,0.04470927408978005,0.006340106740576765,0.1631923537348767,0.009055417363189152,10.832926074920735,-8.232759389288129,-9.007224148625536,1.2914730441112483,-0.5853370871861197,0.0020712943269841407,0.8569544389513588
30,12.233444525460623,0.02750436415613855,1.308859562451716,-0.3338180099981806,1.4787923575089428,0.005734527057503657,0.06033138313049931,0.2861300720637242,5.014162935329207,0.04527483449250173,0.0063330609306638955,0.16325053607292622,0.009034385778523267,11.293699388971199,-8.300332743123056,-9.322329985015896,1.2645324038910726,-0.5651865572121295,0.00223764563406676,0.8634094602405827
31,12.263798820504885,0.030354295044261903,1.3129212463380378,-0.32883862661339947,1.5699835130145716,0.005740654430870594,0.06278981927668116,0.2858476039557598,4.992652475582653,0.04431628910761159,0.006324456582787097,0.16253495060426407,0.009035569415868125,11.529755908208742,-8.196323850896977,-9.469939657663414,1.262735811298406,-0.5681654543401536,0.00231638164565142,0.8675662972474977
32,12.286565854102564,0.022767033597679287,1.3122481052023693,-0.3308944949037682,1.5363914360578017,0.005749442329588689,0.06194946606779438,0.2858213427123861,4.977566889434343,0.044406629985410805,0.0063202971684401124,0.16201306130886806,0.009042560285367486,11.438799972919591,-8.193827735612407,-9.399440377363327,1.264056418361254,-0.569197630483856,0.002284231821876719,0.8658346273182292
33,12.303499679203185,0.01693382510062058,1.3119163281017632,-0.3322867265430664,1.5394971093151066,0.005765977067442783,0.06222896355739247,0.2856876030691346,4.945804626607851,0.04423566642760141,0.006303844941411678,0.16090643008773073,0.009057144473053917,11.441077605790726,-8.130769457378364,-9.380178949667272,1.2656561553302366,-0.5717084123392754,0.0022841453845744023,0.8657811696144136
34,12.30920256486276,0.00570288565957533,1.3115944564045463,-0.33190354393099286,1.5645625932554676,0.005770903287490393,0.06300528413424843,0.28551068420845716,4.934018848304366,0.04400959414581806,0.006291758778826976,0.16037405504648614,0.009060581025390292,11.502492122645132,-8.072802870861505,-9.40791349741048,1.2685456971003535,-0.5741832741921069,0.0022846854397187196,0.8672889990501287
35,12.317902803783086,0.008700238920326342,1.3085237485274706,-0.3293823793011618,1.6020567280126365,0.005751633293129201,0.06410822561703192,0.2858223998131606,4.918842416470243,0.044006353115059266,0.006280535533391197,0.15965161964127603,0.009028309490645899,11.596443995158028,-8.010887609728737,-9.416940314458047,1.2700972794336496,-0.5746785653629846,0.0021068275283921494,0.8714565572456103
36,12.321021689351227,0.0031188855681403282,1.3083724074003003,-0.3283380376024583,1.6238078974940706,0.00576365638454111,0.0647466119914844,0.285455136351143,4.933781574437195,0.0436232087212126,0.006284012836051712,0.15973084449307157,0.009044341943823248,11.645662757199123,-7.956937417434453,-9.425289548732016,1.2767547303864428,-0.5794968648591817,0.002057835415547048,0.8715716977136487
