"Timestamp","Country","Status","Iteration","Total","Percent","Elapsed","ETA","Updated","StatusFile"
"2026-09-21 15:43:33","JP","running","251","6001","4.2%","00:04:23","01:40:37","2026-09-21 15:43:30","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\JP\Inflation Model\mct_model\results\python\japan_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:43:33","AU","running","1201","6001","20.0%","00:04:25","00:17:42","2026-09-21 15:43:32","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:43:33","KR","running","291","6001","4.8%","00:04:16","01:23:55","2026-09-21 15:43:23","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\KR\Inflation Model\mct_model\results\python\korea_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:44:58","JP","running","301","6001","5.0%","00:05:47","01:49:41","2026-09-21 15:44:54","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\JP\Inflation Model\mct_model\results\python\japan_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:44:58","AU","running","1441","6001","24.0%","00:05:51","00:18:33","2026-09-21 15:44:58","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:44:58","KR","running","351","6001","5.8%","00:05:41","01:31:44","2026-09-21 15:44:48","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\KR\Inflation Model\mct_model\results\python\korea_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:58:13","JP","running","931","6001","15.5%","00:19:00","01:43:28","2026-09-21 15:58:06","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\JP\Inflation Model\mct_model\results\python\japan_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:58:36","JP","running","941","6001","15.7%","00:19:13","01:43:25","2026-09-21 15:58:20","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\JP\Inflation Model\mct_model\results\python\japan_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:58:36","AU","running","4521","6001","75.3%","00:19:26","00:06:22","2026-09-21 15:58:32","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 15:58:36","KR","running","1111","6001","18.5%","00:19:16","01:24:50","2026-09-21 15:58:22","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\KR\Inflation Model\mct_model\results\python\korea_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:05:28","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:05:38","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:05:48","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:05:58","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:06:08","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:06:18","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:06:28","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:06:38","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:06:48","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
