code,name,published,published_cpiw,source_line,depth,parent,share,children_published_sum,rounding_difference_percent
SA0,All items,100.0,100.0,162,0,,1.0,100.0,0.0
SAF,Food and beverages,14.539,15.579,163,1,SA0,0.14539,14.540000000000001,0.0010000000000012221
SEFA,Cereals and cereal products,0.315,0.358,167,2,SAF,0.003149783356258597,0.315,0.0
SEFA01,Flour and prepared flour mixes,0.038,0.048,168,3,SEFA,0.0003799738651994498,,
SEFA02,Breakfast cereal,0.136,0.138,169,3,SEFA,0.0013599064649243468,,
SEFA03,"Rice, pasta, cornmeal",0.141,0.173,170,3,SEFA,0.0014099030261348004,,
SEFB,Bakery products,0.721,0.773,171,2,SAF,0.007209504126547454,0.722,0.0010000000000000009
SEFB01,Bread,0.175,0.197,172,3,SEFB,0.0017474559863515297,,
SEFB02,"Fresh biscuits, rolls, muffins",0.12,0.126,173,3,SEFB,0.0011982555334981919,,
SEFB03,"Cakes, cupcakes, and cookies",0.21,0.229,174,3,SEFB,0.0020969471836218357,,
SEFB04,Other bakery products,0.217,0.221,175,3,SEFB,0.002166845423075897,,
SEFC,Beef and veal,0.638,0.75,179,2,SAF,0.00637956121045392,0.639,0.0010000000000000009
SEFC01,Uncooked ground beef,0.236,0.284,180,3,SEFC,0.0023561446724055164,,
SEFC02,Uncooked beef roasts,0.087,0.091,181,3,SEFC,0.000868578756352881,,
SEFC03,Uncooked beef steaks,0.24,0.295,182,3,SEFC,0.0023960793278700165,,
SEFC04,Uncooked other beef and veal,0.076,0.08,183,3,SEFC,0.0007587584538255053,,
SEFD,Pork,0.34,0.444,184,2,SAF,0.0033997661623108664,0.34,0.0
SEFD01,"Bacon, breakfast sausage, and related products",0.131,0.156,185,3,SEFD,0.0013099099037138927,,
SEFD02,Ham,0.066,0.088,186,3,SEFD,0.0006599546079779917,,
SEFD03,Pork chops,0.046,0.066,187,3,SEFD,0.000459968363136176,,
SEFD04,"Other pork including roasts, steaks, and ribs",0.097,0.135,188,3,SEFD,0.0009699332874828059,,
SEFE,Other meats,0.207,0.26,189,2,SAF,0.002069857634112792,,
SEFF,Poultry,0.363,0.456,190,2,SAF,0.003629750343878954,0.363,0.0
SEFF01,Chicken,0.291,0.377,191,3,SEFF,0.0029097998624484176,,
SEFF02,Other uncooked poultry including turkey,0.072,0.079,192,3,SEFF,0.0007199504814305364,,
SEFG,Fish and seafood,0.314,0.347,193,2,SAF,0.0031397840440165058,0.314,0.0
SEFG01,Fresh fish and seafood,0.165,0.185,194,3,SEFG,0.0016498865199449791,,
SEFG02,Processed fish and seafood,0.149,0.162,195,3,SEFG,0.0014898975240715266,,
SEFH,Eggs,0.133,0.158,196,2,SAF,0.0013299085281980741,,
SEFJ,Dairy and related products,0.758,0.828,197,2,SAF,0.007579478679504813,0.758,0.0
SEFJ01,Milk,0.19,0.216,198,3,SEFJ,0.0018998693259972485,,
SEFJ02,Cheese and related products,0.261,0.27,199,3,SEFJ,0.002609820495185694,,
SEFJ03,Ice cream and related products,0.115,0.125,200,3,SEFJ,0.00114992090784044,,
SEFJ04,Other dairy and related products,0.192,0.217,201,3,SEFJ,0.0019198679504814303,,
SEFK,Fresh fruits,0.532,0.602,204,2,SAF,0.0053196341127922965,0.532,0.0
SEFK01,Apples,0.073,0.08,205,3,SEFK,0.000729949793672627,,
SEFK02,Bananas,0.06,0.077,206,3,SEFK,0.0005999587345254469,,
SEFK03,Citrus fruits,0.077,0.088,207,3,SEFK,0.0007699470426409902,,
