code,item_code,name,base_code,api_refreshed,rebased_dec2024
CUUR0000AA0,AA0,All items - old base,A,True,
CUUR0000AA0R,AA0R,Purchasing power of the consumer dollar - old base,A,True,
CUUR0000SA0,SA0,All items,S,True,
CUUR0000SA0E,SA0E,Energy,S,True,
CUUR0000SA0L1,SA0L1,All items less food,S,True,
CUUR0000SA0L12,SA0L12,All items less food and shelter,S,True,
CUUR0000SA0L12E,SA0L12E,"All items less food, shelter, and energy",S,True,
CUUR0000SA0L12E4,SA0L12E4,"All items less food, shelter, energy, and used cars and trucks",S,True,
CUUR0000SA0L1E,SA0L1E,All items less food and energy,S,True,
CUUR0000SA0L2,SA0L2,All items less shelter,S,True,
CUUR0000SA0L5,SA0L5,All items less medical care,S,True,
CUUR0000SA0LE,SA0LE,All items less energy,S,True,
CUUR0000SA0R,SA0R,Purchasing power of the consumer dollar,S,True,
CUUR0000SA311,SA311,Apparel less footwear,S,True,
CUUR0000SAA,SAA,Apparel,S,True,
CUUR0000SAA1,SAA1,Men's and boys' apparel,S,True,
CUUR0000SAA2,SAA2,Women's and girls' apparel,S,True,
CUUR0000SAC,SAC,Commodities,S,True,
CUUR0000SACE,SACE,Energy commodities,S,True,
CUUR0000SACL1,SACL1,Commodities less food,S,True,
CUUR0000SACL11,SACL11,Commodities less food and beverages,S,True,
CUUR0000SACL1E,SACL1E,Commodities less food and energy commodities,S,True,
CUUR0000SACL1E4,SACL1E4,"Commodities less food, energy, and used cars and trucks",S,True,
CUUR0000SAD,SAD,Durables,S,True,
CUUR0000SAE,SAE,Education and communication,S,True,
CUUR0000SAE1,SAE1,Education,S,True,
CUUR0000SAE2,SAE2,Communication,S,True,
CUUR0000SAE21,SAE21,Information and information processing,S,True,
CUUR0000SAEC,SAEC,Education and communication commodities,S,True,
CUUR0000SAES,SAES,Education and communication services,S,True,
CUUR0000SAF,SAF,Food and beverages,S,True,
CUUR0000SAF1,SAF1,Food,S,True,
CUUR0000SAF11,SAF11,Food at home,S,True,
CUUR0000SAF111,SAF111,Cereals and bakery products,S,True,
CUUR0000SAF112,SAF112,"Meats, poultry, fish, and eggs",S,True,
CUUR0000SAF1121,SAF1121,"Meats, poultry, and fish",S,True,
CUUR0000SAF11211,SAF11211,Meats,S,True,
CUUR0000SAF113,SAF113,Fruits and vegetables,S,True,
CUUR0000SAF1131,SAF1131,Fresh fruits and vegetables,S,True,
CUUR0000SAF114,SAF114,Nonalcoholic beverages and beverage materials,S,True,
CUUR0000SAF115,SAF115,Other food at home,S,True,
CUUR0000SAF116,SAF116,Alcoholic beverages,S,True,
CUUR0000SAG,SAG,Other goods and services,S,True,
CUUR0000SAG1,SAG1,Personal care,S,True,
CUUR0000SAGC,SAGC,Other goods,S,True,
CUUR0000SAGS,SAGS,Other personal services,S,True,
CUUR0000SAH,SAH,Housing,S,True,
CUUR0000SAH1,SAH1,Shelter,S,True,
CUUR0000SAH2,SAH2,Fuels and utilities,S,True,
CUUR0000SAH21,SAH21,Household energy,S,True,
CUUR0000SAH3,SAH3,Household furnishings and operations,S,True,
CUUR0000SAH31,SAH31,Household furnishings and supplies,S,True,
CUUR0000SAM,SAM,Medical care,S,True,
CUUR0000SAM1,SAM1,Medical care commodities,S,True,
CUUR0000SAM2,SAM2,Medical care services,S,True,
CUUR0000SAN,SAN,Nondurables,S,True,
CUUR0000SAN1D,SAN1D,Domestically produced farm food,S,True,
CUUR0000SANL1,SANL1,Nondurables less food,S,True,
CUUR0000SANL11,SANL11,Nondurables less food and beverages,S,True,
CUUR0000SANL113,SANL113,"Nondurables less food, beverages, and apparel",S,True,
CUUR0000SANL13,SANL13,Nondurables less food and apparel,S,True,
CUUR0000SAR,SAR,Recreation,S,True,
CUUR0000SARC,SARC,Recreation commodities,S,True,
CUUR0000SARS,SARS,Recreation services,S,True,
CUUR0000SAS,SAS,Services,S,True,
CUUR0000SAS24,SAS24,Utilities and public transportation,S,True,
CUUR0000SAS2RS,SAS2RS,Rent of shelter,S,True,
CUUR0000SAS367,SAS367,Other services,S,True,
CUUR0000SAS4,SAS4,Transportation services,S,True,
CUUR0000SASL2RS,SASL2RS,Services less rent of shelter,S,True,
CUUR0000SASL5,SASL5,Services less medical care services,S,True,
CUUR0000SASLE,SASLE,Services less energy services,S,True,
CUUR0000SAT,SAT,Transportation,S,True,
CUUR0000SAT1,SAT1,Private transportation,S,True,
CUUR0000SATCLTB,SATCLTB,Transportation commodities less motor fuel,S,True,
CUUR0000SEAA,SEAA,Men's apparel,S,True,
CUUR0000SEAA01,SEAA01,"Men's suits, sport coats, and outerwear",S,True,
CUUR0000SEAA02,SEAA02,"Men's underwear, nightwear, swimwear and accessories",S,True,
CUUR0000SEAA03,SEAA03,Men's shirts and sweaters,S,True,
CUUR0000SEAA04,SEAA04,Men's pants and shorts,S,True,
CUUR0000SEAB,SEAB,Boys' apparel,S,True,
CUUR0000SEAC,SEAC,Women's apparel,S,True,
CUUR0000SEAC01,SEAC01,Women's outerwear,S,True,
CUUR0000SEAC02,SEAC02,Women's dresses,S,True,
